Column1,Column2
애프터에서 바로 강남미녀 나오는 거 보고 뿜었다ㅋㅋㅋ 역시 의사선생님이네 마우스로도 수술하시네ㅋㅋㅋ,1
미하엘 슈마허 아님?ㅋㅋㅋㅋㅋㅋ,1
머리크기는 못줄입니다 ㅋㅋㅋㅋ,1
진짜 성형외과 이 선생님으로 섭외 잘하신듯 ㅋㅋㅋㅋㅋ너무 재밌으심,1
심즈 오랜만이네 ㅋㅋ,1
인물사진사도 의사님들만큼 하는거 같아요.,1
본 판에서 최대한 예쁘게 만지시는게... 약간 직업병 같은 느낌..?ㅋㅋㅋ 나같으면 그냥 갈아엎었는데 ㅋㅋㅋ,1
"ㄹㅇ 진지하셔서
오히려 조와.",1
로아 쟈미써,1
성형 상담가면 저렇게 비율로 설명해줌,1
로아나 다른 국산 개돼지 커마했으면 좋았을듯,0
의학 단어(?)말하는거 왤케 간지 나냐,1
심즈 장인이랑 같이 했으면 훨씬 퀄리티좋은 결과가 나왔을듯. 장인이 터치하는건 아니고 장인의 dlc 다 해금된 계정이랑 의사선생님이 어떤 기능이 있냐고 물어봤을때 알려주는 식으로 했으면 어땠을까,0
ㅋㅋㅋㅋㅋㅋㅋ성형외과 원장샘이 진지하게 임해주는게 넘 웃김ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ게임 캐릭터 성형ㅋㅋㅋㅋㅋㅋㅋㅋ,1
"순간 못 생기게 만들고 견적 잴줄 ㅋㅋㅋㅋㅋ
의사 입장에서는 돈이니",1
부업으로 심즈 케릭터 만드셔도 될듯요 ㄷㄷㄷ,1
자기가 해서 A 점수 준거 아닌걸까요 ㅎㅎㅎ,1
게임 캐릭터에 탈모다 부정교합이다 등등 말하니까 개웃기넼ㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅌㅋㅋㅋㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
전문의가 한시간 들여서 작업하다니 ㅎㅎㅎ 진용진 대단하다!,1
안누를수없는 쌈박한 제목,1
ㅋㅋㅋㅋㅋ,1
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
이번 주제 아이디어 좋다ㅋㅋ,1
아 이번꺼 주제 개꿀잼이네ㅋㅋㅋ,1
다른 온라인 RPG겜을 시키시지..,0
로아로 했었으면 진짜 연예인급 얼굴 나왔을수도 있을듯...,0
cc템 끼워서 꾸미고 싶다 짱예쁠 듯,1
로스트 아크로 했으면.. 아쉽 아쉽,0
썸네일 보고 터졌음ㅋㅎㅋㅎㅋㅎㅋㅎㅋㅋㅋㅋㅋㅎㅋㄹㅋㄹㅋㄹ 아니 왜이러케 진지하신건데ㅋㅍ큐ㅠㅠㅋㅠㅠㅋㅋ,1
"진짜 맨날 야무지게 궁금한것만
잘 찾아오네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",1
왜케 진지햌ㅋㅋㅋㅋㅋㅋ,1
아니 왜 여기 실장님중 한명 닮았냐 ㅋㅋㅋㅋㅋㅋㅋㅋ,1
ㅈㄴ신박하네 ㅋㅋㅋㅋ,1
심즈로 아이유 수지만드는분은 진짜 대단한거네...ㅋㅋㅋㅋㅋ,1
5억 너무 싼거같은데….,1
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 진짜 이런 거는 어떻게 생각을..,1
와 ㄹㅇ 이뻐진다 ㅋㅋㅋㅋㅋㅋ컴퓨터로도 금손이시네,1
기가막힌 코가막힌 마케팅에 박수를 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
탈모가 진행되있어요는 뭐에요 ㅋㅋㅋㅋㅋㅋㅋㅋ,1
썸네일 보고 진짜 뭐래 진용진 ㅋㅋㅋ 이러면서 들어옴,1
"진짜 성형수술은... 볼때마다...
무서워 ㄷㄷㄷㄷㄷㄷㄷㄷㄷ...
중국인들.. 성형수술해서 인형처럼 바꾼 사람들...
볼때마다 멘붕올거 같은 공포감이 몰려옴 ㄷㄷㄷㄷㄷㄷㄷ
암튼 진짜 신기하다.... 
의사선생님이 괜히 의느님이 아니네요 ㄷㄷㄷ",1
"그 저기 일본에 있는 일루전이라는 회사의 게임으로 했다면 진짜 예쁜 얼굴로 나왔을텐데... 아쉽구만
꿀선택이나 뭐 그 동아리 활동 게임이나 등등...",0
ㅋㅋㅋㅋ 개 웃기네 의사분 진지하신 거 개웈김,1
역시 궁금하지도 않는 주제를 궁금하게 만드는 용진그는대체…..,1
뭔가 생긴게 딱 성형 미인처럼 생겼다 ㅋㅋㅋ,1
5:07 세계 최초 성형외과 의사한테 고맙다고 하는 캐릭터 ㄷㄷ,1
ㄹㅇ 내일 학교 가야되는데..,1
진짜는 진짜다 와~,1
탈모에 삼백안ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅌㅌㅌㅌㅋㅋㅋㅋㅋㅋㅋㅋㅌㅋㅋㅋㅋㅋㅋㅋㅋ 도란,1
ㅋㅋㅋㅋㅋㅋㅋㅋ,1
심즈러인데 의느님 정말 노스킨으로 잘만드셧네요~~,1
오...오오...예쁘다..,1
이건 보자마자 들어올수밖에...;,1
마이클잭슨,1
우와! 대박이네요,1
일루전게임으로해야지,0
주제 진짜 골때리네 ㅋㅋ,1
ㅋㅋㅋㅋㅋㅋ샍즈,1
"컬링 선수면 송유진, 전재익 선수가 나오면 너무 좋겠네요 ㅎㅎ",1
울티마하셨으면 게임계의 고인돌인데 ㄷㄷ,1
심각한 탈모ㅋㅋㅋㅋㅋㄱ뻘하게 웃기네,1
설명하면서 엄청 잘하시네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
다짜고짜 탈모가 심합니다 이러시는거 겁나 웃기네 ㅋㅋㅋㅋㅋㅋ,1
5:07 뻘하게 웃기넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ고뫄워요 허우즨 선생니ㅡㅁ,1
"용진님 고정댓 ""놀라셨죠? 저도 놀랐습니다"" ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",1
의사하려면 웃음도 잘 참아야하나?ㅠㅠㅋㅋㅋ탈모가온건뭐야또ㅜㅜㅋㅋㅋㅋㅋㅋㅋㅋ나였으면 벌써 설명하다가 푸힠틳했음ㅜ....,1
국수 잘만드는사람이 수제비 못하라,1
진짜 성형한 사람의 전형적인 얼굴이 나오는게 개신기하네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
야 ㅋㅋㅋㅋ 이거 주제 짠사람 선물주자 ㅋㅋㅋ,1
성형회과는 그림실력도 보나요?,1
"뭐야??? 채널 팔렸다고해서 왔는데???
진용진님 영상 올라오는데,??",1
게임 캐릭터 커스터마이징 해주시는 유투버분도 계시더라구요.,1
우아 저런분한테는 얼굴 맡기고싶다 ㅋㅋㅋㅋ,1
아니 ㅋㅋㅋㅋ 이런게 왜 궁금 한건데 ㅋㅋㅋㅋㅋ,1
역시 성형외과 의사 ㄷㄷ,1
5:07 씹ㅋㅋㅋㅎㅋㅎㅋㅎㅋㅎㅎㅋ,1
이슈왕보고왔다,1
진짜 의사선생님이 잘 하시네요 ㅋ,1
5:07 아닠ㅋㅋㅋ,1
진짜 팜?,1
1:43 아 ㅋㅋㅋㅋㅋ 왜 이부분이 그렇게 웃기지 ㅋㅋㅋ,1
팔렸는지 확인하러온사람,1
5억?,1
안들어올수없는 제목..,1
형 5억?,1
난 심즈로 이쁘게 만드는거 어려워서 포기 했었는데 역시 의사는 의사네,1
ㅋㅋㅋㅋㅋㅋ제목 보자마자 너무 궁금해짐,1
5:07 ㅋㅋㅋ,1
"넉넉하게 한시간이라니
잘모르겠지만 나보단 훨 잘하는듯ㅋㅋ",1
아니 선생님 왜그렇게 열심히 하시는건데요 ㅋㅋㅋㅋㅋ,1
심즈 케릭터 분석하는거 개웃기네 ㅋㅋㅋㅋㅋㅋ,1
클릭하게 해주셔서 감사합니다 구독과 좋아요 알람설정 끝 😆 이런 아이디어는 일주일 고민하신거죠 참신하네요 ㅎㅎ,1
금손ㄷㄷ,1
1:40 ㅋㅋㅋㅋㅋㅋ 전문적으로 캐릭터 까기,1
섬네일 스포임,1
아지매를 그냥 마릴린 먼로를 만들어 놨네;;,1
"01:41  보자마자 든생각
턱형...? 
나만 그런거 아니지?  ㅋㅋ",1
돈 엄청 버는 성형외과 선생님을 1시간이나 붙잡아놓고 가상수술을 시키면 인터뷰 비용을 대체 얼마나 드려야 하는거죠 ㅋㅋ,1
와 커마 진짜 잘하시네. 커마 잘하려면 성형외과 ㄱㄱ,1
턱형에서 미용실 마네킹이 되었네,1
아니 근데 실제로 이쁘게 잘 나옴 ㅋㅋㅋ,1
1:42 아니ㅋㅋㅋㅋ 다 벗겨졌는데 탈모 진행 끝난거아닌가,1
개웃곀ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
"심즈 커마장인들도 기본기능으론 저정도가 한계임 ㅋㅋㅋㅋㅋㅋ
의느님도 장인들이 쓰는 cc템 주고 게임에 익숙하면 짤로 접하던 이상적인 결과물을 낼 수 있을듯.",1
개이쁘네;;;,1
심즈다ㅋㅋㅋㅋ,1
ㄷㄷ,1
캐릭터 탈모ㅋ,1
ㅋㅋㅋㅋㅋㅋ,1
아니 ㅋㅋㅋ 이런걸 누가 궁금해하냐곸ㅋㅋㅋㅋ,0
이게 바로 다 뜯어 고친다는거지 ㅋㅋ,1
와...제목보고 재밌을거같아서 들어왔는데 ㄹㅇ재밌네 ㅋㅋㅋㅋ신가하다,1
"5:07 고마워요ㅋㅋㅋㅋㅋ 뭐냐곸ㅋㅋㅋㅋㅋㅋㅋ
목소맅ㅌㅋㅋㅋㅋ",1
이걸 이렇게 진지하게 임하는 의사선생님이 ㄹㅇ 개웃기심 ㅋㅋㅋㅋㅋㅋㅋ,1
의사분 꼭 원래 심즈 하시는 분 같네요 엄청 잘하시네 ㅋㅋㅋㅋㅋ,1
여캠들이랑 똑같이 생겼네 ㅋㅋㅋㅋㅋ,1
5:07 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅁㅊㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ개터짐ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
아닠ㅋㅋㅋ 진짜 성괴랑 똑같이 생겼넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
시원시원하게 얘기해주시네옄ㅋㅋㅋ,1
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아이디어 대박이네,1
커마 할 겜이 다크소울이였으면 좋았을 텐데,1
성형외과 의사들은 성형  하지않는군요    여자는 자연미인 좋아하실꺼같구ㅋㅋㅋ,1
2:28 해리케인 등장,1
로아로해주지,0
"2014년작 카툰풍 그래픽의 게임을 성형외과 의사에게?
진용진씨 게임개발자라 겜잘알이실 것 같았는데...",0
진짜 강남언니 되네 ㅋㅋㅋ,1
ㅋㅋㅋ ㅋㅋㅋ ㅋㅋ ㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋ ㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋ ㅋㅋ,1
와 ㅋㅋㅋㅋㅋ,1
근데 저새기들은 뭔데 남의 외모 평가함?본인 외모완벽한가보지??그렇게 능력있으면 본인 와꾸부터 조립하세요 ㅋ,1
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ의사선생님 케릭터 처음 얼굴 전문적 용어로 까는게 너무 웃김,1
본판 홍진경 닮았다,1
심즈 캐릭터에게 의학적 소견 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㄴㅋㅋㅋㅋㅋㅋㅋ,1
매각됐는데 지금이랑 똑같이 가는거맞음??  구취 안해도 되는거 맞음??????????,1
원장님 제 부케도 커스터마이징 부탁드립니다 ㅜ ㅜ,1
"와 이거 은근 궁금했는데 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 
나도 이정도 꾸몄는데 그분들은 더 잘 꾸미시겠지라고",1
심즈 뒷광고 ??,1
이형 요즘 컨텐츠로 자기가 해보고싶은거 다해보려하네ㅋㄱㄱㄱㅋㄱㄱㄱㄱㄱㄱㅋㄱㄱㄱㄱㄱㄱㄱ,1
썸넬 뭔데ㅋㅋ,1
의사선생님 설명 진짜 청산유수다 ㅋㅋㅋ,1
5:06 아 ㅋㅋㅋㅋㅋ이거 형이 더빙한 거야? ㅋㅋㅋㅋㅋㅋ진짜 미쳤나 봐 ㅋㅋㅋㅋㅋㅋ,1
한결같네욬ㅋㅋㅋ,1
부잣집 아주머니,1
커마 게임할 때 참고해야 겠다 .... ㅋㅋㅋ,1
의사가 괜히 의사가 아닌 이유,1
이 주제는 못 참지,1
내 얼굴도 저렇게 쉽고 빠르고 안아프게 잘생겨지고 싶다,1
허우진 원장님 유명한분임..,1
1:44 ㅋㅋㅋ 진지하게 탈모지적하는거 왤케 웃기지,1
"저정도면 믿고 맡길 수 있겠어요!
수치가 정해져 있는 것처럼 얼굴을 공략해 버리네요.",1
그냥 3D 모델링 으로 처음부터 만드는게 더 잘만드실듯,1
해명문 요약 : 피의게임까지 이름 올리고 난 빠지겠다,1
어...뭔가 완성된 캐릭터 송강느낌나는데,1
커마에 미친놈들 봤는데 다 인체학같은거 배우고 있던데. 비율계산해서 하나하나 일일히 만드는거 보고 그냥 다운받기로 함. 개꿀.,1
5:07 더빙모얔ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ개뿜었네ㅋㅋ,1
3d 여자를 만나야하는구만~? ㅎ,1
오 확실히 잘 하는듯?,1
"허우진 원장님과 직접 상담 받아 본 사람입니다.
서울대의대 출신이신데 전체적인 묘사도 그렇고 대화자체가
다른 점잖은 의사분들과 다르게 10대 20대 상대하는 말투 정말 잘 사용하십니다.
유튭에서 보게 되니 방갑네요.",1
팔굽혀펴기 하면서 보고 있는데 1:38보고 개터져서 훅 내려가서 턱 박음.. 조금 변형이 아니잖아요 이건..,1
ㅋㅋㅋ첨부터 탈모문제있대서 빵터졌다 ㅋㅋㅋㅋ,1
이건 진짜 레전드네요 이건 못참지 ㅋㅋ,1
4:18 와 제가 느낀점을 딱딱 아셨다 와..  게임 툴로 저정도면 실제 성형으로는 얼마나 잘하실까 대박이네,1
점수를 메기다니... 역풍이 느껴진다,1
와 진짜 한번도 궁금해본적없는데 제목 보고나서 이렇게까지 궁금할 수 가 없다,1
1:06 과연... 게임을 할 시간이 없는게 당연한거군...,1
이건 걍 의사쌤 이상형같은뎈ㅋㅋ,1
턱을 너무 돌려깎았네 ㅋ,1
이건 못참지!!,1
처음 만들어보고 CC템없는거 치고 안정감있게 잘 만드셨네요.,1
역시 의느님의 위엄이 느껴지네요. 실제 사람도 새롭게 창조하는데 그깟 게임 캐릭터쯤이야 껌이겠죠.,1
"검은사막이었다면 외모가 더 예쁘고 윤곽도 뚜렷하다보니
더 잘하셨을것 같은데 아숩네요",1
심즈 내가만들면 오크만 만들어지는데 이거 맞나...,1
세상 모든 성형의사들도 쉬는시간 아님 퇴근 하고 집에서 심즈 해봣을텐데 ㅋㅋ 어떨까 다들 모습이,1
ㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅈㄴ 이뻐지네,1
��👍,1
*형.....다크소울이나 블러드본을 줬었어야지 아 ㅋㅋ*,0
송혜교닮음,1
로아로 했으면 더재밌었을텐데...,0
"ㅋㅋㅋㅋ 그러면 성형외과의사들만 하는 게임이 있으면 커마 다 똑같을거아니여?ㅋㅋㅋ 
강남미인 커마ㅋㅋㅋ",1
ㅋㅋㅋㅋ진짜 성과같앙 ㅋㅋㅋㅋ,1
이게 뭐라고 진지해 ㅋㅋㅋㅋㅋ,1
ㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ병맛이얔ㅋㅋㅋ기여웤ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
5:07 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
스카이림 캐릭터 커마가 궁금했는데 아쉽네요,0
저걸 진지하겤ㅋㅋ,1
zzzzzzzzzzzzzz,1
와ㅋㅋ보자마자 개궁금해지는 주제다,1
심즠ㅋㅋㅋㅋㅋㅋ 미쳤다,1
ㄹㅇ 성괴느낌그대로네,1
꽁치 먹겠다고 외과의사 불러서 꽁치 수술시켜서 먹은 일본인 생각나네요 ㅋㅋㅋㅋ,1
1:42 못생긴 걸 분석도 하는구나..,1
"1:44 탈모라늬 ,,,,",1
엇 ㅋㅋㅌ 전형적인 한국형 플라스틱 설져뤼 느낌 ㅋㅋㅋㅋㅋㅋㅋ 신기하다 ㅋㅋㅋㅋㅋㅋ,1
와근데 진짜 신기하게 너무 이뻐지네요ㄷㄷㄷㄷ 제가 몇시간을 만져도 저리 안되는데 신기ㄷㄷㄷㄷ,1
의사선생님 캐릭터 성형하는데 과몰입하신거 개웃기네ㅋㅎㅋㅋㅋㅋㅋㅋ,1
화장이나 옷같은 코디부분은 또 다른 전문가분들께 맡겨야할듯ㅋㅋ,0
겜 캐릭터 만들때 심하게 탈모가 왔네요 에서 빵 터짐 ㅋㅋㅋㅋㅋ 😂,1
과체중이요...?ㅠㅠㅠ,1
의사쌤  매우 진지하네 ㅋㅋ,1
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 캐릭터 커스터마이징인데 겁나 진지해,1
"보통 사람들은 걍 대충 해봐서 이쁘게 되는 쪽으로 가는데, 확실히 직업으로 하시는 분은 처음부터 분명한 기준이 있네요 ㅋㅋ 재밌",1
궁금하지 않았지만 궁금해 졌다,1
성형한 얼굴같음,1
3:01 진짜 이 말 맞음. 한국사람뿐만 아니라 동아시아 전반적으로 무턱 겁나 좋아함... SNS 사진이나 동영상보면 필터로 눈 겁나 키우고 턱은 너무 가늘고 뾰족해서 거의 외계인같은 비율 만들고 온라인게임 여캐들도 보면 한국에서 양산형처럼 찍어낸 내수용 게임들은 서양인  여캐라도 턱이 거의 없더라.,1
Gta도 가시죠,1
4:39 ㄷㄷㄷ 의사쌤 일루미나티 ㄷㄷ,1
아깝다..로스트아크 캐릭터 커스터마이징을 성형외과 원장님께서 직접 해봤습니다 였으면 전국 로아인들 다 몰려왔을탠데,0
의사 선생님 너무 진지한게 웃기면서도 멋있다,1
자괴감 드네. ㅋㅋㅋㅋ 게임 하나도 안하신분이 게임 커스터마이징을 저렇게 잘하시다니. 난 뭐냐,1
스카이림에서 했어야지,0
저 개임 캐릭터가 저렇게까지 커마가 가능했던가?? 엄청 어려웠던걸로 기억하는데 대단하네요 ㅋㅋ,1
게임 캐릭터도 성괴스타일로 만들어버리는 클라스,1
만약 소울 시리즈나 엘더스크롤 바닐라 커마 기능을 드리면.......,0
눈 사이 미간이 넘 함몰 된듯ㅠㅜ,0
결론:우리 언냐들 돈을 얼굴에 쳐발라도 안된다.,1
진지해서 재밌엌ㅋㅋㅋㅋ,1
골렘을 엘프로 만드는 기적!,1
1:50,1
역시 진용진님...!,1
잘하시는데??,1
별걸 다하네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
설명이 귀에 쏙 들어오네,1
아주 견적이 5000이네,1
모드 쓰면 아시아인처럼 더 세밀하게 가능,0
역시 삼국지2는 명작이군..,1
5:07 고마워요 허우진 선생님 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
4:54 비주가 머지??,1
아 이건 ㄹㅇ 못참지,1
아...이건 아니지 않나? 너무 허접한데........,0
로아 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
근데 내 눈에만 안예쁘냐?…..,0
"성형외과 의사선생님의 손으로 하시니 완전 다른사람 이네요ㅎㅎ
오늘도 좋은영상 감사합니다ㅎㅎ
용진님 행복한밤 보내시고 감기 조심하세요ㅎㅎ😊",1
난 단순히 장난으로 시청했G만... 의사 센세는 역싀 전문가야.... 진지한 모습... 갱장히 멋쩌... 프러페샤널...멋져옹.. 여윾시 전문가는 괜히 전문가가 아닌것이다옹...,1
5:06,1
5:07 왤캐 귀여웤ㅋㅋㅋㅋ,1
"아이루미 허원장님 한테 코 수술 받았습니다
완전 500% 만족합니다
감사합니다 원장님",1
5억은 너무 싸게 팔았네 진용진 돈이 급했나..,1
"머리크기는 못바꾼데ㅋㅋㅋ
대두는 수술도 못하겠군ㅜㅜ",1
의사쌤 손실력도 실력인데 말로하는 감각적인 묘사나 표현도 되게 잘하시는듯,1
커스터마이징 게임을 성형외과 교육용 자료로도 활용하면 좋을듯,1
와! 진짜 기가 막힌 아이디어입니다👍👍,1
신기하네,1
5:07 killing point,1
오 백설공주 닮음 ㅋㅋ,1
게임에 뭘 저렇게 진지하게해ㅋㅋㅋㅋㅋㅋ,1
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
뭐야 이거ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
ㅋㅋㅋㅋㅋㅋ 아 심즈 캐릭터를 분석하고 있다니 ㅋㅋㅋㅋㅋ,1
아이루미 갈만한뎈ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
"18歳以上の場合 ⤵️⤵️(◠$◕)♪❤🔞 -----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  http://aishite.tokyo/KINOMI/?JK私的-セックス 🔞🥰



Youtube: This is fine
Someone: Says ""heck""
Youtube: Be gone
#однако #я #люблю #таких #рыбаков #Интересно #забавно #девушка #смешная #垃圾",1
2:02 캐릭터 의문의 1패 ㅋㅋㅋㅋㅋ,1
근데 확실히 턱이 중요하네....인상이 확달라보임,1
선생님은 왜 머리에 빤쓰 뒤집어 쓰고 있는 걸까,1
크크크크크,1
하신 게임 보니 침착맨이라거 아세요 선생님...?,1
대댓에 광고 안달리게 좀 해봐라;;,0
씹가능,1
"18歳以上の場合 ⤵️⤵️(◠$◕)♪❤🔞 -----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  http://aishite.tokyo/KINOMI/?JK私的-セックス 🔞🥰



Youtube: This is fine
Someone: Says ""heck""
Youtube: Be gone
#однако #я #люблю #таких #рыбаков #Интересно #забавно #девушка #смешная #垃圾",1
"🎬-WELCOME---TRENDING---TOP---THIS---YEAR---🆃🆄🅱🅴☃️🆂🅴🆇 ✅-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- 🆔MY 18+ VIDEOS HE RE 🔆🅿𝕣🅴🄼เ𝕦🅼 🅿尺𝐈🆅𝐀ŦẸ 𝕤Ẹｘ🔞🔆 ✅PLAYVID👉❤ TINDERS.CLUB/KINOMI ❤


 
￼-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------🅒🅛🅘🅒🅚-🅛🅘🅝🅚--------- ----------------------------------------------------------------------------------------------------￼ ライブ配信の再編ありがとうです！この日のライブ配信は、かならりやばかったですね！１万人を超える人が見ていたもんね(笑）やっぱり人参最高！まさかのカメラ切り忘れでやら1かしたのもドキドキでした！今後は気を付けないとね. .!￼￼￼️ 今後は気をライブ配信の再編ありがとうです！この日のライブ配信は、かならりやばかったですね！１万人を超える人が見ていたも ん（笑）やっぱり人参最高！まさかのカメラ切り忘れでやら1かしたのもドキドキでした $ 今後は気をライブ配信の再編ありがとうです!.垃圾. この日のライブ配信は、￼ かならりやばかったですね！ ! １万人を超える人が見ていたもん（ 笑）やっぱり人参最高%！ まさかのカメラ切り忘れでやら1かしたのもドキドキでした 垃圾W再編ありがとうです！いたもん.垃圾. 笑）在整個人類歷史上，強者，富人和具有狡猾特質的人捕食部落，氏族，城鎮，城市和鄉村中的弱者，無`'守和貧窮成員。然而，人類的生存意願迫使那sfdsd些被拒絕，被剝奪或摧毀的基本需求的人們找到了一種生活方式，並繼續將其DNA融入不斷發展的人類社會。. 說到食物，不要以為那些被拒絕的人只吃垃圾。相反，他們學會了在被忽視的肉類和蔬菜中尋找營養。他們學會了清潔，切塊，調味和慢燉慢燉的野菜和肉類，在食品``..垃圾. (◡ $ ◡)私の最新の個人的なビデオはここにあります.垃圾.",1
여자 마이클잭슨 만들어놨네,1
캐릭터도 의사가 말하는거에 뭐라도 아는지 시무룩한 표정이라 더 우끼네 ㅋㅋ,1
5:07 목소리 킹받네 ㅋㅋㅋㅋ,1
