,comment_origin,label
48,로스트아크 하는 줄 알고 쥰니 기대했는데,0
49,국산 게임 검은 사막 같은걸로 해주시지,0
50,검은사막 커스터마이징으로 다시 도전해 봅시다!!,0
51,검은사막이나 아르미스 커스터마이징 시켜보시지..,0
52,커마는 허니셀렉트2 지!! 춤도추고 붕가도 한다궁,0
53,요즘 진짜 조회수 왜캐 안나옴...?,0
54,아 검은사막으로 했으면 쌉고퀄 나왔을텐데 아쉽습니다 ㅠㅠ,0
55,검은사막으로 하면 어떨지 궁금하네,0
56,썸네일 존못,0
57,블소를 시켰어야지!!!! 검은사막!! 로스트아크!!,0
58,몬스터 헌터 월드 커마로 해봤음 더 예쁘게 나왔을 듯ㅋㅋ,0
59,게임 선택이 잘못 되었네요 엘더스크롤 스카이림 모드 깔고 시키셨어야죠..,0
60,검은사막으로 커마하면 더 잘하겠다,0
61,커마를 할거면 검은사막이 ㄹㅇ인데,0
62,슬슬 재미없어진다.......주제가 떨어진듯,0
63,이거 풀 버전 보고싶어요 첨부터 재밌는데 잘려서 좀 아쉬움 ㅜㅜ,0
64,"모드!! 모드를 깔아드리라구요!!!
미친 퀄리티가 나올건데에!!",0
65,다른 영상들에 비해 소리가 너무작아요 ㅠ,0
66,본인직업은 유튜버라고 적으셨는데.. 인터뷰하시는 분은 카푸어라고 적은게 웃기네요 ㅎㅎ,0
67,주작인 건가   리포터가 어설퍼,0
68,그 우파푸른하늘에 20대 막내PD라고 차차님 있은데 그분 인터뷰 섭외하시지 ㅜㅜ,0
69,썸넬 넘 극혐,0
70,불법토토 광고영상 이던데,0
71,용진아 이런 뻔한거 말고 초창기처럼 쎄게좀 가주라,0
72,불안해보이냐 왜케,0
73,진짜  진용진  개싫어    이런거나 알려줘야지  역사 같은데보면  정확하지도 않은역사정보 사실인거 마냥아주 날조하고 반미반일선동하고 ㅋㅋ 친북좌파 대한 선동도 하고 ㅋㅋ 겉으론  북한 싫어하는척 하면서  차분하게 선동하니깐 잼민이들 선동이 아니라 사실로 받아들이고 애들한테  잘못된 역사의식 심어주고  이런 선동하는애때문에  대한민국 성장하는데 있어서  브레이크 게속 걸리잖아   진짜 이딴 쓰레기채널 하루 빨리 인수되기를 기원함   잼민이들이 올바른 역사 가치관 바로잡길 기원한다,0
74,솔직히 이게 왜 궁금할까????,0
75,3:25 마이드 - 마인드 (오타),0
76,일반화시켜버리는게 스포츠카타는사람들을 싸잡아서 이야기하는거같아서 보기 좋지않네요,0
77,진용진씨 나대지맙시다ㅋ,0
78,응 주작,0
79,이건 질문이 아니라 걍 놀리는 거 아님? ㅋㅋㅋㅋㅋㅋ,0
80,역시 진용진 돌려까기 지린다 쓰례기들 인터뷰하러다니면서 돌려까기!,0
81,요즘 올라오는거 720p 아닌거 아실려나,0
82,"설문조사를 할때 설문의 목적을 알려줘버리면
피험자는 질문자의 의도를 도와주고싶어하기때문에 신뢰도가 떨어진다고 생각합니다..",0
83,질문을 바꿔서 잘 생겼다고 생각한다로 하면 별로 안 나옴... 평균이상 이런 질문이 참 애매함.. 못 생겼다 잘 생겼다 잘생기지 않았다 못생기지 않았다.. 늬앙스가 다 다르듯이... 그리고 외모가 딱히 얼굴에만 국한 된 것도 아니고 아무튼 저렇게 모호한 표현으로 설문조사 하면 신뢰도가 많이 떨어지지,0
84,'외모'가 아니라 '몸매'겠지.. 주제 자가 잘못 됐음..,0
85,남성뿐이 아니라 여성도 설문해서 둘이 비교하는게 더 정확하지 않을까요??,0
86,근데 요즘 진용진 조회수 팍 떨어졌네....,0
87,외모에 찌든 나라네 ㅋㅋㅋ 그만좀 비교질하자,0
88,댓글 좀 볼려하니까 매크로 때문에 대댓글 씹창났네ㅋㅋ,0
89,"청소년지도사입니다.
교관 호칭이 잘못되었습니다.
많은분들이 전문성 없던 옛 교관시절 수련회를 기억하시지만, 청소년지도사는 2년혹은 4년을 대학에서 청소년에대한 전문지식을 토대로 탄생하는 직업입니다.
또, 소지품검사, 체벌, 인권침해, 성희롱등의 사항은 엄격하게 금하고 있지만 애들 담배가져왔을지도모르니 검사해달라, 애들 빡세게 굴려달라, 정신차리게 해달라 등은 학교측의 요구입니다. 대부분 그 학년부장선생님들의 요구이구요.
물론, 분위기를 무겁게 만드는 멘트들 사용합니다. 거기에도 이유가있습니다. 특히 레크리에이션  및 장기자랑시간이 끝난후에 숙소에 돌아가면 가장 많은 사고가 발생합니다. 청소년기에 아직 집단과 또래친구들의 분위기가 고조되어있으니 평소엔 일어나지 않을 사고들이 일어나게 되죠. 그걸 방지하기 위해서 억지로 분위기를 다운시키는겁니다. 초반도 비슷하게 프로그램 참여에 몰입할수있게 다운시키는거구요. 
짧은 2박3일이라도 청소년들이 와서 안전하게 집에돌려보내는것이, 재밌었던 추억 한 줌으로 만들어주는것이 저희의 일입니다.
영상이 많이 아쉽네요. 교관이라는 전문성 없던 시절에서 벗어나 더 좋은 청소년지도사의 모습이 청소년들의 기억 속에 남도록 앞으로도 노력하겠습니다.",0
90,오늘은 주제가 너무 재미없다...,0
91,얘도 컨텐츠 슬슬 노잼이네,0
92,어그로그만끌어라 조회수끌려고 우리가 궁금해하는거 올리는데 결국에는 쓸데없는정보이고 우리에게 살면서 도움되지도않는 정보인데 몇년째 똑같은 컨텐츠냐 에휴,0
93,에이 너무 전문가 설명에 맹신이다…,0
94,이딴거 할빠에 머리카락 갯수나 세자,0
95,설명 진짜 못하네..,0
96,얘는 왜 보면 볼수록 비호감같을까?,0
97,ㅈ같은 개그 쳐하지마라 역겹다,0
98,이건 너무 안궁금..,0
99,계속 이딴 잼민이들이나 궁금해할만한거만 올리니깐 조회수가 10창이 나죠,0
100,걍 이딴 개 노잼 소재 말고 경찰차 앞에서 대놓고 위반할때 과연 쫒아 올까? 이런 자극적인거 해라,0
101,광고냄새,0
102,이제 소재 많이 떨어졌나보네 ㅉㅉ,0
103,얘는 근데 왜 갑자기 또 떡상함? 재밌는거 올리면 죄는 없어지는건가?,0
104,그냥 위대한 개츠비 표절 아님?,0
105,"너무 당연한 것 아닌가요? 제목만 보면 답이 저절로 나오는 주제들이 많네서 작년에 질문을 올렸는데 제가 궁금한 그 궁금증, 아직도 1년째 해결이 안 됐네요",0
106,이거 그냥 광고같은데 ㅡㅡ,0
107,"존나뻔하다 제목으로 어그로끌고 결국 종사하는 사람 1 -2명 인터뷰하고 ㅋㅋㅋ 맨날똑같네 방식이
접어라유튜브",0
108,이시키는 쓸때 없는짓만 하네,0
109,안궁금한데,0
110,이딴거 안궁금하고,0
111,재밌다고 올린건가....,0
112,너무 재미없었어요,0
113,머고 이게 재미없어,0
114,진짜 모르겠는데? 뭐가 재밌는지 설명 좀,0
115,처음부터 끝까지 개정색하고봄,0
116,재미없네,0
117,예전이 그립다...,0
118,이.게.재.밌.냐,0
119,갑자기 과나가 왜 나오냐..,0
120,재미없다 구독취소,0
121,이번건 진짜 ... 그닥... 별로...,0
122,얘도 컨텐츠 슬슬 노잼이네,0
123,어그로그만끌어라 조회수끌려고 우리가 궁금해하는거 올리는데 결국에는 쓸데없는정보이고 우리에게 살면서 도움되지도않는 정보인데 몇년째 똑같은 컨텐츠냐 에휴,0
124,에이 너무 전문가 설명에 맹신이다…,0
125,이딴거 할빠에 머리카락 갯수나 세자,0
126,설명 진짜 못하네..,0
127,얘는 왜 보면 볼수록 비호감같을까?,0
128,ㅈ같은 개그 쳐하지마라 역겹다,0
129,이건 너무 안궁금..,0
130,계속 이딴 잼민이들이나 궁금해할만한거만 올리니깐 조회수가 10창이 나죠,0
131,걍 이딴 개 노잼 소재 말고 경찰차 앞에서 대놓고 위반할때 과연 쫒아 올까? 이런 자극적인거 해라,0
132,광고냄새,0
133,이제 소재 많이 떨어졌나보네 ㅉㅉ,0
134,얘는 근데 왜 갑자기 또 떡상함? 재밌는거 올리면 죄는 없어지는건가?,0
135,그냥 위대한 개츠비 표절 아님?,0
136,"너무 당연한 것 아닌가요? 제목만 보면 답이 저절로 나오는 주제들이 많네서 작년에 질문을 올렸는데 제가 궁금한 그 궁금증, 아직도 1년째 해결이 안 됐네요",0
137,이거 그냥 광고같은데 ㅡㅡ,0
138,"존나뻔하다 제목으로 어그로끌고 결국 종사하는 사람 1 -2명 인터뷰하고 ㅋㅋㅋ 맨날똑같네 방식이
접어라유튜브",0
139,이시키는 쓸때 없는짓만 하네,0
140,안궁금한데,0
141,이딴거 안궁금하고,0
142,재밌다고 올린건가....,0
143,너무 재미없었어요,0
144,머고 이게 재미없어,0
145,진짜 모르겠는데? 뭐가 재밌는지 설명 좀,0
146,처음부터 끝까지 개정색하고봄,0
147,재미없네,0
148,예전이 그립다...,0
149,이.게.재.밌.냐,0
150,갑자기 과나가 왜 나오냐..,0
151,재미없다 구독취소,0
152,이번건 진짜 ... 그닥... 별로...,0
153,와 ....제정신이 아니네 ...,0
154,아주자랑입니다 X발꺼,0
155,목소리 역겨워,0
156,..에휴,0
157,이새끼 말투 ㅋㅋ..,0
158,자랑이냐 역겹다,0
159,구독취소 인스파 언팔 완료!,0
160,진짜 찐따같네요.,0
161,영상 길이좀 줄이자,0
162,개 쓰잘때기 없는 걸로 영상찍네 ㅋ,0
163,따라하누,0
164,발음 연습 좀만 해주시면 더 좋을듯요..,0
165,보이스를 좀만 넣으면 재밌을듯,0
166,따라하네;;,0
167,아니 재업을 몇번 하는거야 ㅋㅋ,0
168,말하는거 ㄹㅇ 듣기싫음,0
169,저딴걸 왜해요,0
170,진짜 심각하게 못하네,0
171,화질구지네요,0
172,재미 없다,0
173,주작개치는것들이 말하니까 믿을수가없네,0
174,실망 입니다. 취두부 튀기는법 잘 알아보고 튀겨야지.,0
175,p의게임 안올리냐 ㅅㅂ,0
176,오이를 튀겼어야함… 이건 맛없을거다,0
177,야외에서 하지.... 옷 겁나 많네,0
178,주작섬이라서 신뢰가 영 안가네,0
179,두리안도 튀겨주시지...,0
180,민초가 왜 호불호 갈리지..,0
181,맛있겠냐,0
182,하필 이런 주작러들이랑 찍으시다니 실망스럽군,0
183,편집이 뭔가 영상이 계속 끊기는 느낌이드는데 형?,0
184,이걸 니가 왜 취재해,0
185,피의게임 유튜브 올릴 때까지 비추,0
186,아니 그래서 젤리를 왜튀기는데요..,0
187,와 미안한데 이번건 진짜안궁금하다.....,0
188,와씨 펭수 나오는줄 알고 봤는데 어그러 개쩌네,0
189,이번거 별로 재미없엇어요 ㅠㅜ,0
190,뇌절의 표본,0
191,무익한 채널 정말,0
192,소재떨어졋냐눙,0
193,솔직히. 이번건 별로다,0
194,썸네일은 펭순대 펭수안나옴,0
195,말씀을 참..,0
196,"어머님이 .... 말씀이........ㅎ.... 좀 많이 거치신...ㅎ
보는 제가 다 민망하네요;
어머님은 분노조절장애 이신것 같.........흠....
아드님이 더 힘드셨겠다.....힘내세요..",0
197,환경에 안 좋은 콘텐츠..,0
198,저 엄마분 개씬그럽네,0
199,귀에 피나겠네;;;,0
200,몰카느낌 나는건 나만 그런가...?,0
201,누전 단계별로 알려주시지 ㅜ,0
202,초심 잃었노,0
203,완전 폐급이네 ㅋㅋ,0
204,어우 듣기싫어..,0
205,말이 길다? 전혀 한국인 같지 않아...,0
206,이거 뒷광고일 확률 높음.. 같은날 jm 하고 다룬 유튜버들도 이 제품 영상 올림,0
207,여거 뒷광고아님?,0
208,이건 뒷광고 아니겠지??,0
209,진용진 댓글은 하나같이 헬렐레 찐따 개돼지 호구 저능아들밖에 없냐? 의식의 흐름대로 굳이 말안해도 되는 말을 초딩같이 중얼대다가 지들끼리 코드가 맞았는지 ㅇㅈㅇㅈ ㅈㄴ 거리면서 역겹게,0
210,어느 날 부터인가.... 이상하게 은근광고쪽으로 변질됬네...,0
211,이건 거의 광고네..,0
212,이걸 모르는 쉐키가 있다고?ㅋㅋ,0
213,형 이렇게 뻔한거 할 정도로 컨텐츠가 없어?...........,0
214,진용진 개노잼됏네 ㅋ ㅋ 위험한거안하노??,0
215,마스크 똑바로 써 킹받네 ㄷ,0
216,결론 어그로,0
217,대한민국의 모든 광고의 특징이네요.,0
218,제목으로 꼽주네,0
219,형이제 조회수가 딸리네,0
220,비교 표현이 음ㅡㅡ,0
221,조회수 실화냐.. ㅜㅜ 하긴 나같아도 보기 싫을 제목과 썸네일이긴 함 볼거다봐서 들어왔긴 한데ㅋㅋ,0
222,드론이 당연히 빠른거 아닌가ㅋㅋ,0
223,형 이거 망한듯..,0
224,소재가 떨어졌다,0
225,요즘은 소재가 재미가 없다,0
226,너무 당연한 결과다,0
227,당연히 기계가 더 빠르지 이거 주제 선정 누가 했냐 ㅡㅡ,0
228,이런걸 궁금해했던 사람이 있니?,0
229,개씹노잼,0
230,요즘들어 궁금하지도 않은 주제를 왜하는지 모르겠어요!! 저만 그렇게 생각한다면 기분 나쁘실 수 있으니 죄송하구요!! 그치만 저는 흥미없는 컨텐츠로 좀 재미가 없네요ㅠㅠ,0
231,요즘은 별로 궁금하지도 않는거 많이하네 댓글에 시청자들 의견 들어준건 별로없네ㅋㅋ 그냥 지 하고싶은거 위주로 하는느낌이네 요즘,0
232,재밋냐 돈안된다 당장때리치라,0
233,낚시좀 적당히 하시죠,0
234,왜케노잼인것들만처하냐,0
235,이젠 너무쉬운것들만. 하네.....소재고갈,0
236,조회수 잘안나왔네,0
237,이게대체 왜 궁금하냐 진짜 이주제를 한것도 참대단하다 뭔가 찍긴찍어야겠고 다른건할게없나 ㅋㅋㅋ 진짜 별쓰잘데기없는것까지 다하네,0
238,형도이제 영상올릴아이디어가없구나,0
239,이거뒷광고네,0
240,유일하게 궁금하지 않았다..,0
241,얘 영상은 다 이런식임. 머리 큰 성인은 제목만 봐도 이상함을 느낄 수 있음 저게 썩는다는 의미가 아닌데. 그저 잼민이픽,0
242,점점 가면 갈수록 존나 안궁금한걸하네 .......,0
243,...쓸게없다,0
244,ppl이네 ㅋㅋ,0
245,알림 겁나늦어,0
246,음악만 겁나 비장해,0
247,이제슬슬재미없는거하네,0
248,음 뭔가 이번엔 성의가 없고 광고하려고 한것 같은 느낌,0
249,전문가가 아닌사람을 모셔다 해서 ;;; 웬 스파오 마케팅팀인가  소재 전문가도 아니고 디자이너도 아니고,0
250,영상 10분까지 늘려 형,0
251,진용진도 초심 다 잃은 거 같아서 안타깝다...이제 피피엘 대놓고 하는구나...,0
252,소재 떨어졌구나......,0
253,점점 관심 없는거 밖에 안알랴줌,0
254,이 영상은 진용진의 영상에 비하면 조회수가 적네요...,0
255,피셔 매듭법 쓰시지,0
256,? 진용진 미필임?? 유격안해봤나?? 아님 육군 안나왔나??? 밧줄을 못 탄다고??,0
257,그냥 매듭을 묶을줄 모르네,0
258,이제진짜 소재떨어졌나보다........,0
259,뭐 매듭법도없이 이렇게하면 되겠지? 하면서 매듭지었네  저거 커튼이나 옷으로 매듭하는 방법 따로있음 요즘 영상 개별로임  조회수 낮은 영상 돌아보고 더 쉬시던 고민을 좀 하시는게 나을듯 호적 안파지고 이런거 존나상식이잖아 물어보는새끼들도 좀 찾아보고 물어봐라,0
260,묶는방법도틀림.,0
261,"저거 묶는법 위기탈출 넘버원에서 나오는데, 그 방법으로 묶어보시지..",0
262,짧게 여러개를 연결해야지 길게 몇개하고 뜯어지고있네 ㅋㅋㅋ 전문가없이하니까 이러네,0
263,점점 재미 없어지는 주제네요 ㅜ...요플레 뚜껑까지가 재밌었는데..,0
264,이번꺼는 하나도 안궁금한디,0
265,진용진 초심 일었다,0
266,점점 주제가 노답이 되가는것 같아 초심좀 잡아여,0
267,쓸데 없는 짓 장인이시네,0
268,할일없으세요? 점점 컨텐츠가 안드로메다로가는거같네요 초심잃지말길,0
269,시대가 어떤시댄데 사주같은걸 실험하고있나 ㅋㅋ,0
270,광고 안 다세요? 돈 벌릴때 쫘악 끌어모으셔야죠,0
271,제목부터 너무 바보같은 질문임ㅋㅋㅋ 어느 백화점이든 건물이든 보안은 24시입니다~,0
272,사주가아니라 신점같은데ㅎㅎ,0
273,이건 점 보는 거지 사주가 아닌데요?ㅅㅂ,0
274,컨텐츠에 투자좀해라!,0
275,진짜 재능낭비다,0
276,진짜 점점 산으로간다 ㅋㅋㅋ,0
277,이럴거면 인터뷰를 해요. 궁금한걸 찾는게 아니라 그냥 인터뷰 하기 쉬운거만 선택하네,0
278,이거 흔남에서 먼저 했던건데...,0
279,이건 누굴위한 컨텐츠 인가,0
280,점점 질문수준이랑 영상 수준이 ....,0
281,이 영상 조금 부족하다 직원 통로로 가는것도 한번 해보지,0
282,기적의 검 광고는 왜하나,0
283,슬슬 뇌절하네 주제,0
284,머니게임 이후로 뭔가 빵 터지는게 없네,0
285,ㅡㅡ 이거 뒷광고 냄새가 난다 지에스가 저렇게 인사하고 물건 정리가 저렇게 되어있다고?,0
286,세븐일래븐꺼는 왜 빼고 ㅡㅡ....,0
287,질문이 점점 초딩수준으로 변해가냐 어휴,0
288,ㄹㅇ 주작같다..  경찰에신고하는게먼저아닌가 우리나라가이렇게범죄가심각하구나,0
289,아니 브리딩은하지마시지ㅜ으,0
290,광고같네 ㅋㅋ 신구로점 리뉴얼오픈 얼마전에 했는데,0
291,이건 아니지 ㅡㅡ 소재 떨어졌으면 연구를 해라,0
292,이게 궁금한 사람도 있구나.. 바코드가 같으면 다 찍히지,0
293,주제 선정이 뭐 이러냐...,0
294,?? 6일전 영상 알림이 왜 이제 떠..... 개 너무하네,0
295,당연히 찍히지 ...,0
296,바코드가 같은데 안찍히겠나... 이건 기본 상식아냐?? 멍청이들이 너무 많은데,0
297,"아니 이런멍청한실험을하다니..
바코드 고유코드가 같으니 공통적인 물품은 전부 같은걸;;",0
298,저건 당연할듯.,0
299,점점 주제가 떨어진다 어디까지 갈라나,0
300,점점 쉬운거만 하네?,0
301,형 요즘 노잼이야,0
302,점점....주제가 고갈되나보네요..ㅠㅠ 갈수록 좀...,0
303,와 이번 영상은 정말 궁금하지도 않았고 심지어 재미도 없군요,0
304,이제 할게 진짜없나 보네,0
305,쉬운거 골라서 해도 조회수 잘나오니 이제 그냥 대놓고 쉬운거만 골라서하네.. 초심찾자,0
306,너무노잼주제인데 뻔하고,0
307,아니 근데 이게 왜 궁금한거였음?.,0
308,여기는 댓글보는 맛이 없네....,0
309,아 이게뭔 영상낭비냐....,0
310,당연히 자회사 PB제품은 전용제품이라 등록안된제품으로뜰꺼고 일반적인 공통으로파는제품은 당연찍히겠지,0
311,너무 당연한 거 아닌가???,0
312,바코드가 똑같으니까 당연히 찍히지...,0
313,마스크 제대로 쓰셔야죠.,0
314,이걸 많은 사람이 궁금해 한다니 놀랍네요,0
315,소재없나보네,0
316,이걸굳이...? 공장에서 나올때부터 바코드찍혀나와서 각 편의점으로 발주나가는건데 이걸...??? 동영상찍으실게없엇나...,0
317,식상했음 이번편은...,0
318,아무거나 찍어서 올리는 느낌이 강하게 드네요,0
319,이건 좀 어이없는데..,0
320,뒷광고 의심,0
321,나만 이번 영상 완전 허술하다고 느끼나?,0
322,올라오는 영상 다 아는건데,0
323,ㅇㄴ 이걸 해봐야 아나?,0
324,오늘 주제는 꽤 참신했는데... 내용은... ㄸ싸고 안닦은 기분이에요. ㅡㅡ,0
325,다 아는내용을 딱 예상할 수 있는 결론이었다,0
326,이런건 하지않앗으면 좋겟어요 재미도 없고 얻어가는것도 없고;; 그냥 돌팔이들 이야기 뭐하러 들어야되나요,0
327,요즘 소스 존나 떨어져서 개노잼이네,0
328,이번 영상이 너무 불법에 치우쳐져서 제작된 건 아닌가 싶네요..,0
329,"코는 내놓고 입만 가리고 있노?? 하여튼, 턱스크 입스크 개극혐이다.",0
330,오늘의 결론: 영상이 짧다.,0
331,점점 컨텐츠 떨어지네,0
332,똥에다 밥 비벼 먹어본 사람 좋아요,1
333,분수에 맞게 삽시다~~!,1
334,우리는 진짜 다 열고 했는데,1
335,아하,1
336,001이 평소에 뭐하는 사람인지 알려주세요 맨날 어쩌라고 라는 댓 다는걸로 유명하신 분인데,1
337,근데 성형외과의사는 게임에서의 커스터마이징처럼 얼굴을 외과적으로 바꾸는 기술을 연마한 사람이니 커스터마이징 하는데 앉혀놓으면 강점이 전부 없어지는거아님? ㅋㅋㅋ,1
338,예전에 저 학생때 다 한적 있습니다. 그때 애들이 교관님 빡치게 하는바람에 두시간 동안 가방 검사 했었어요 ㅋㅋ,1
339,불법의 온상인 수련회,1
340,보겸TV 시청자가 이 채널을 시청합니다.,1
341,ㅗㅜ.. 개인 부동산 자산만 300억.. 저게 중산층이었어..?,1
342,운전 좋아하는 사람은 한번쯤 카푸어할만 한것 같음. 할부까지 끼는건 모르겠지만 자동차 살당시 올현금박아서 샀었는데 재밌게 잘타고있고 그냥 너 어릴때 차살걸 싶더라구여ㅎㅎ 아 지금은 20대후반,1
343,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
344,평균이하님들 감사합니다. 덕분에 제가  평균이상이에요.,1
345,33초전!,1
346,로또 당첨되도 중산층이라 불리기도 뭐한 세상이구나,1
347,마지막 반전 개웃기넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
348,"내비둬~.
자기하고픈대로
하고살면되지",1
349,주차 ㅈㄴ 거슬리네,1
350,ㅋㅋㅋㅋ진용진씨 람보르기니도 무리없이 뽑을능력될텐데 포르쉐타고 리액션하는거바ㅋㅋㅋ,1
351,아직도 수련회 있음?? 난 아직 있는게 더 신기하누,1
352,"저런차 타는 사람보다 
저렇게 타는 사람들은 뭐하는 사람들일까 궁금함.
어떤 인생일 살아오면 썸네일처럼 저러고 다닐 수가 있는지",1
353,26살인데 거의 무슨 40대를 지난 인생의 바이브가 나오네 ㄷㄷ,1
354,여자들이 자기 외모를 평가절하한다고? ㅋㅋㅋㅋ 요즘은 아닌거 같은데 지 주제를 모르는 애들 존나 많던데 ㅋㅋㅋㅋㅋㅋㅋㅋ,1
355,r개웃기네비엠ㅋㅋㅋㅋㅋㅋㅋㅋ,1
356,300억 ㅎㅎ,1
357,"저런거 타고다니는건 상관없는데
거지같은 배기음 소리좀 안냈으면 좋겠다
지나가는 사람들은 소음 좆같아서 쳐다보는데
지들은 자기 차 쳐다보는게 좋은 차 부러워한다고 생각하더라",1
358,솔직히 남자라면 거울보면서 머리 한번쯤은 넘겨 봤자나 ㅋㅋ,1
359,"주차장에 주차해놓은거부터 짜증나네
유지할 품위는 있고??",1
360,"뭘물어ㅋ
차보고 대주니까 타것지~ 
남자한테 이유는 항상 여자에 있는거지",1
361,심즈 캐릭터에게 의학적 소견 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㄴㅋㅋㅋㅋㅋㅋㅋ,1
362,진짜 잘하셨는딩...?,1
363,5:07말투 ㅋㅋㅋ,1
364,아ㅋㅋㅋㅋ 근데 진짜 난 평균이상임.,1
365,ㄹㅇㅋㅋ,1
366,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 진짜 이런 거는 어떻게 생각을..,1
367,자신이 잘생겼다고 생각하는 것이 자존감이 높은 게 아닙니다. 자신의 외모를 객관적으로 받아들이면서도 자신을 사랑하는 것이 자존감이 높은 겁니다.,1
368,2500억 말할때는 그렇게 놀라지 않았지만 귓속말로 해줄때 놀란것은 최소 조 단위겠네...,1
369,사회구조상... 어쩔수 없는......,1
370,5:07 말풍선 뭔데?ㅋㅋㅋㅋ,1
371,걍 금수저자나. 어차피  아버지 돈 뜯어먹고 사는건데 카푸어 욕할거없다.,1
372,금수저분 자산에 비해 너무 검소 하신대?,1
373,다 아버지와 같이 일하네 ㅋㅋㅋㅋㅋ,1
374,재벌은 킹정이죠~,1
375,이거 남자라면 ㄹㅇ공감ㅋㅋㅋ,1
376,하지만 각자의 개성이 중요한거지 평균이 뭐가 중요합니까 . 근데 저도 평균이상이라고 생각합니다 ㅎ,1
377,같이나이인데  다른세상사람이네..,1
378,그래 카푸어 지 맘이지...... 하지만 난 내돈에 맞게 살란다,1
379,아ㅋㅋ나만 중고차딜러님 이시언배우님 닮으신거 같냐고ㅋㅋㅋㅋ,1
380,카푸어쉐끼도 떳떳해보이는데 얼공하시지ㅋㅋ,1
381,오 나도 성형외과 쌉가능?,1
382,심즈 캐릭터를 강남 성형미인 언니로  만들었네 ㅋㅋㅋ,1
