,textDisplay,textOriginal,authorDisplayName,publishedAt,likeCount,authorProfileImageUrl,predict
12,ㅅr고レㅌl비 여캠들이 남자 페티쉬를 잘 이해하는듯 발도 막 보여주고 겨드랑이도보여주고 .. 아 상상만해도 설거같네,ㅅr고レㅌl비 여캠들이 남자 페티쉬를 잘 이해하는듯 발도 막 보여주고 겨드랑이도보여주고 .. 아 상상만해도 설거같네,Eray AKKUŞ,2021-05-10T11:12:49Z,0,https://yt3.ggpht.com/ytc/AKedOLSQZ7Cnc5fCPqxBV_TM5_0IqVAdyrNTTbAXYq3D2A=s48-c-k-c0x00ffffff-no-rj,good_feedback
13,진용진 유튭을 며칠 전에 처음 보고 정주행중인데 난 갠적으로 돠드림 컨텐츠가 젤 좋음 잔잔하면서 재밌는 다큐보는것같음,진용진 유튭을 며칠 전에 처음 보고 정주행중인데 난 갠적으로 돠드림 컨텐츠가 젤 좋음 잔잔하면서 재밌는 다큐보는것같음,이민지,2021-03-23T15:11:31Z,0,https://yt3.ggpht.com/ytc/AKedOLTQ8mnRkNYAQnl9VL5xoLm_nLwU07Ny7pgSqok2=s48-c-k-c0x00ffffff-no-rj,good_feedback
14,이렇게 열심히 사는분이 많구나,이렇게 열심히 사는분이 많구나,임태우,2021-02-21T14:48:55Z,0,https://yt3.ggpht.com/ytc/AKedOLQVHUp_fdde7I06H5DsB8e8m-Vyp-u9Ple7epTj=s48-c-k-c0x00ffffff-no-rj,good_feedback
15,썸네일 ㅁㅊㅋㅋㅋㅋㅋㅋㅋㅋ,썸네일 ㅁㅊㅋㅋㅋㅋㅋㅋㅋㅋ,조율,2021-01-17T04:27:19Z,0,https://yt3.ggpht.com/ytc/AKedOLSU4pGhPeO_GszDlGg14KBrPuxIn5Mcck3ayg=s48-c-k-c0x00ffffff-no-rj,good_feedback
16,도데체 썸네일은 왜그러죠 ??,도데체 썸네일은 왜그러죠 ??,소다수,2020-12-17T14:30:08Z,0,https://yt3.ggpht.com/_iW0kBIKGu_Y4PauQgqCySIcwFBq3L-GJk2kBoOJBBa0H-QsQaFtOrC7O9zM7VFdXdWdEq1dzg=s48-c-k-c0x00ffffff-no-rj,good_feedback
17,썸네일 신들린 것 같애요ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,썸네일 신들린 것 같애요ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,잼민TV,2020-11-28T18:22:28Z,0,https://yt3.ggpht.com/ytc/AKedOLSd3MNebG_n3HfrAddC9fcLU9YR-lATfvR8VOpw=s48-c-k-c0x00ffffff-no-rj,good_feedback
18,ㅋㅋㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋㅋㅋ,윤석진,2020-11-11T12:05:22Z,0,https://yt3.ggpht.com/vMXtKDGvaBleNGLA0CGpaMs7Z2cWJEYrOyFAsuL_RFGKT6G_ZScZOVGGrrh67rxymo3hfvKGBfY=s48-c-k-c0x00ffffff-no-rj,good_feedback
19,"<a href=""https://www.youtube.com/watch?v=ibydOspB5y0&amp;t=3m08s"">3:08</a>초ㅋㅋㅋㅋ",3:08초ㅋㅋㅋㅋ,이란연,2020-11-07T12:07:28Z,0,https://yt3.ggpht.com/ytc/AKedOLRLCd7XjHVu1twD20WKkrBOH39uwq8AbVU-UA=s48-c-k-c0x00ffffff-no-rj,good_feedback
20,재생목록에 돠드림 맨 위에있는 동영상 썸네일 보고왔다 개웃김ㅋㅋ,재생목록에 돠드림 맨 위에있는 동영상 썸네일 보고왔다 개웃김ㅋㅋ,bs,2020-10-26T11:03:21Z,0,https://yt3.ggpht.com/ytc/AKedOLQigJNXT-L88PiEn9wx57CqaqLmSJy3rqQVTA=s48-c-k-c0x00ffffff-no-rj,good_feedback
21,아니.. 내새꾸 입덕하고 다시 보니까 내새꾸 있어... 와... 현재 울 리아는 레드소네트와 네키루에서 레드를 담당하고 있다죠ㅠㅠㅠㅠ,아니.. 내새꾸 입덕하고 다시 보니까 내새꾸 있어... 와... 현재 울 리아는 레드소네트와 네키루에서 레드를 담당하고 있다죠ㅠㅠㅠㅠ,MISOミ-ソ,2020-10-21T17:39:44Z,0,https://yt3.ggpht.com/ytc/AKedOLSN8H7UOUW-8WxzfwBScb1Ce0SfUr8iUBfwqI4R=s48-c-k-c0x00ffffff-no-rj,good_feedback
22,돠드림도 시청자가 많이 보면 좋겠다..,돠드림도 시청자가 많이 보면 좋겠다..,자세,2020-10-12T07:46:44Z,1,https://yt3.ggpht.com/ytc/AKedOLQyggCOW6d3zrCYzurko9B4fd9A4K7PhrzqW3mfXg=s48-c-k-c0x00ffffff-no-rj,good_feedback
23,썸네일:°○°,썸네일:°○°,Dwkwk Deuuw,2020-09-16T15:57:26Z,0,https://yt3.ggpht.com/ytc/AKedOLSRopyoSBLF1Z9yaI2V9LLnVHnv6pIr675QEA=s48-c-k-c0x00ffffff-no-rj,good_feedback
24,"<a href=""https://www.youtube.com/watch?v=ibydOspB5y0&amp;t=00m55s"">00:55</a> 코너 돌면 나온다더니 ㄹㅇ로 밴드가 나왔엌ㅋㅋㅋㅋㅋㅋ",00:55 코너 돌면 나온다더니 ㄹㅇ로 밴드가 나왔엌ㅋㅋㅋㅋㅋㅋ,손영주,2020-09-12T15:21:46Z,0,https://yt3.ggpht.com/ytc/AKedOLTKjLvBEMv-bEDdHS-WFjuARCDQ0zkwANRpkw=s48-c-k-c0x00ffffff-no-rj,good_feedback
25,용진님 노래를 못 들었어 ㅜ ㅜ,용진님 노래를 못 들었어 ㅜ ㅜ,도채야,2020-09-08T14:50:00Z,0,https://yt3.ggpht.com/ytc/AKedOLRSM3ZxkYZ-eygVwdX2FVDVHgf1t39_6qt-Nf9CHQ=s48-c-k-c0x00ffffff-no-rj,good_feedback
26,1000,1000,이준석 ꪜ,2020-07-08T00:34:50Z,0,https://yt3.ggpht.com/ytc/AKedOLSbH3r5Xn93gBokK1NJjwzSJAItOD05cKk9429Y=s48-c-k-c0x00ffffff-no-rj,good_feedback
27,1000,1000,히다,2020-07-04T01:42:03Z,1,https://yt3.ggpht.com/ytc/AKedOLQiQ76U86A4LokoovZVuKxpvdgUDQLuc4l5ZbIx-Q=s48-c-k-c0x00ffffff-no-rj,good_feedback
28,"<a href=""https://www.youtube.com/watch?v=ibydOspB5y0&amp;t=2m53s"">2:53</a> R.M.H(R:렘 M:마지 H:헬씨(healthy)",2:53 R.M.H(R:렘 M:마지 H:헬씨(healthy),이혁,2020-07-02T12:59:17Z,1,https://yt3.ggpht.com/CnWpdSWJbUjufEIJWNG-AXWzbQOjFSo9jXPQGSOEZssCtgdNeA6lAr45eM-c1419HkepFzOTaxw=s48-c-k-c0x00ffffff-no-rj,good_feedback
29,천번째댓글,천번째댓글,김호중,2020-06-24T22:39:02Z,0,https://yt3.ggpht.com/ytc/AKedOLQ1nig-YTiycvt8vVhc5QdnJoIVY4BKu5e2tg=s48-c-k-c0x00ffffff-no-rj,good_feedback
30,내가 1000번째 댓글이다,내가 1000번째 댓글이다,쫀득,2020-06-22T05:38:31Z,1,https://yt3.ggpht.com/ytc/AKedOLR2F1pDASRAVOUXZOpSzMgI5Isw5pqwQtnTxPOaMg=s48-c-k-c0x00ffffff-no-rj,good_feedback
31,왜 뜬금없이 파김치짘ㅋㅋㅋㅋㅋㅋ,왜 뜬금없이 파김치짘ㅋㅋㅋㅋㅋㅋ,옐옐,2020-05-30T13:38:08Z,0,https://yt3.ggpht.com/ytc/AKedOLQ9e2qQyGaSspVndy2fnF1rB0fuF_5MIZMZcSoyYA=s48-c-k-c0x00ffffff-no-rj,good_feedback
32,걍 형 인스타같은데에 올림 걍 형팬들이 우르르 오지 않을까?,걍 형 인스타같은데에 올림 걍 형팬들이 우르르 오지 않을까?,문재인병신새끼!,2020-05-17T04:38:03Z,0,https://yt3.ggpht.com/ytc/AKedOLQV0SyXuY1_hlVnKfvR1zRnbt9jC43gEtP5VQQu9w=s48-c-k-c0x00ffffff-no-rj,good_feedback
33,뭐야 여기 무서워,뭐야 여기 무서워,r q,2020-05-16T18:32:19Z,0,https://yt3.ggpht.com/ytc/AKedOLRUumcwmehwnaMvTSKE00WJX7f6YPkoRpaXG-Gt=s48-c-k-c0x00ffffff-no-rj,good_feedback
34,무당 한번 만나보시는게.. 신들렸네,무당 한번 만나보시는게.. 신들렸네,앨린,2020-05-13T12:24:04Z,0,https://yt3.ggpht.com/ytc/AKedOLRTHamBth6xLVyEPcgWwqRGBEx692IIIjQEeFK_=s48-c-k-c0x00ffffff-no-rj,good_feedback
35,홍대에 있는 AOR 공연장이네요 공연이 자주 열리는 공연장이고 저희가 힙합 공연을 자주 열고 있습니다 자주 그리고 많이 보러와주세요!!!,홍대에 있는 AOR 공연장이네요 공연이 자주 열리는 공연장이고 저희가 힙합 공연을 자주 열고 있습니다 자주 그리고 많이 보러와주세요!!!,박재현,2020-05-01T20:40:53Z,0,https://yt3.ggpht.com/ytc/AKedOLRhyR_0XzD4q75b0hygRoYzzr1UjeVu4spu-B7A=s48-c-k-c0x00ffffff-no-rj,contents
36,"<a href=""https://www.youtube.com/watch?v=ibydOspB5y0&amp;t=5m06s"">5:06</a> 김도..?",5:06 김도..?,애미야5천원만,2020-04-28T12:35:33Z,0,https://yt3.ggpht.com/ytc/AKedOLToRdYfRUdYFQqhNskDFq3shDZTKmpiB4BYQA=s48-c-k-c0x00ffffff-no-rj,good_feedback
37,"<a href=""https://www.youtube.com/watch?v=ibydOspB5y0&amp;t=4m36s"">4:36</a> 네",4:36 네,원채우,2020-03-30T09:11:00Z,0,https://yt3.ggpht.com/aNeVj9ZhDw0LM_v9W2U4nZs6v_u1jVdNkeGSOARLSzv02yVE-gZzDylEmSAUcLGOfEjIu7jnAg=s48-c-k-c0x00ffffff-no-rj,good_feedback
38,라깬놀,라깬놀,돌사자,2020-03-23T01:23:31Z,0,https://yt3.ggpht.com/ytc/AKedOLRKnpUAoFT6EKPRY4EmvSe1q44zEGhsyVpysCaU=s48-c-k-c0x00ffffff-no-rj,good_feedback
39,돈도  잘벌면서 무슨 저작권 떄문에 음악을 컷 하냐 그럴꺼면 올리지 마라 ~~,돈도  잘벌면서 무슨 저작권 떄문에 음악을 컷 하냐 그럴꺼면 올리지 마라 ~~,star cyber,2020-03-10T00:32:26Z,0,https://yt3.ggpht.com/ytc/AKedOLSGH3mmOHUV1hmxX3ihk5sqj4uTgBhEO6ETgyyA_Q=s48-c-k-c0x00ffffff-no-rj,good_feedback
40,진용진 너란놈은...,진용진 너란놈은...,bb b,2020-03-01T23:09:25Z,0,https://yt3.ggpht.com/ytc/AKedOLQaIbWw53dA8lWoug9txGhLdWYZWhW-45QI9A=s48-c-k-c0x00ffffff-no-rj,good_feedback
41,저좀 도와주세요 동영상촬영하는데 목소리가 선명하지않고 크지않고 뚜렸하지않는데 마이크 설정하는방법좀 알려주세요,저좀 도와주세요 동영상촬영하는데 목소리가 선명하지않고 크지않고 뚜렸하지않는데 마이크 설정하는방법좀 알려주세요,띠땁TV,2020-02-23T16:58:01Z,0,https://yt3.ggpht.com/ytc/AKedOLQl7R_xukM64f5O8Bf3JR35uvJrt0a2ef8X7USp4g=s48-c-k-c0x00ffffff-no-rj,contents
42,썸네일 ㅋㅋㅋㅋㅋㅋ,썸네일 ㅋㅋㅋㅋㅋㅋ,메리크리스마스,2020-02-17T03:27:20Z,1,https://yt3.ggpht.com/ytc/AKedOLSewFkhi5YWU6zGMQBWy9eEWR4fTRqATlTFFZnl=s48-c-k-c0x00ffffff-no-rj,good_feedback
43,아니 솔직히 썸넬에 눈보고 안들어올수가 없잖아,아니 솔직히 썸넬에 눈보고 안들어올수가 없잖아,어쓰기빌런띄,2020-02-16T02:41:38Z,0,https://yt3.ggpht.com/ytc/AKedOLQ-Si49WP4M-U57lSKnMBLTrr0jSIWbAc3mjA=s48-c-k-c0x00ffffff-no-rj,good_feedback
44,썸낼보고 들어오신분?,썸낼보고 들어오신분?,ᄋᄋ,2020-02-15T11:51:29Z,2,https://yt3.ggpht.com/ytc/AKedOLSK9clLf-QiEfuxZo1uIEV4QeiDegvIHU9B9Vhp5g=s48-c-k-c0x00ffffff-no-rj,good_feedback
45,아니 저기  렘  코스하신분 있다  .... ㅋㅋㅋ,아니 저기  렘  코스하신분 있다  .... ㅋㅋㅋ,기랑기랑,2020-02-14T05:51:06Z,2,https://yt3.ggpht.com/ytc/AKedOLTrw-iH30GvVke_hcFcPxjv1fQPa88Jz7XhQIvuUg=s48-c-k-c0x00ffffff-no-rj,good_feedback
46,다른 유튜버들 돠드림도 배껴줬으면,다른 유튜버들 돠드림도 배껴줬으면,동글,2020-02-10T07:55:31Z,0,https://yt3.ggpht.com/oAsOAmeRG3-9lDwleSb6cGaw3JOetewYp6yF3R6hDmVzcWT71mmWDpD4iw4nH5xppnjIAeA5XZk=s48-c-k-c0x00ffffff-no-rj,good_feedback
47,마지막에 저거 남자 맞음? ㅋㅋㅋㅋㅋㅋㅋ,마지막에 저거 남자 맞음? ㅋㅋㅋㅋㅋㅋㅋ,빵이,2020-02-05T14:50:08Z,1,https://yt3.ggpht.com/ytc/AKedOLRaEcaNC6_lFpb5hdWilYrBchZ3nXUkGNOUCV4QDQ=s48-c-k-c0x00ffffff-no-rj,good_feedback
48,귀여워 ㅠㅠ,귀여워 ㅠㅠ,루,2020-02-05T05:24:42Z,0,https://yt3.ggpht.com/ytc/AKedOLS03kHIM728DiuMIbi1KaK3khFx_B0jgB_POmoq=s48-c-k-c0x00ffffff-no-rj,good_feedback
49,"<a href=""https://www.youtube.com/watch?v=ibydOspB5y0&amp;t=4m58s"">4:58</a> 렘?",4:58 렘?,Bae Bak2,2020-02-04T15:25:51Z,4,https://yt3.ggpht.com/ytc/AKedOLRT5bFBP94thkGOP_8_-sNrdwMOZ-CUonr_qAmPEg=s48-c-k-c0x00ffffff-no-rj,good_feedback
50,진용진님의 어색한 신나함이젤로웃겨요,진용진님의 어색한 신나함이젤로웃겨요,ISFP,2020-01-31T20:03:05Z,1,https://yt3.ggpht.com/1Sb_LmTLwebFeeBYVq4xaya_vuf6IAXa-iWqE-X2JE9uvtmzA4BDYKiB9moU0L7Vudf2jINlm3g=s48-c-k-c0x00ffffff-no-rj,good_feedback
51,짱웃곀ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅌㅌㅌㅋㅋㅋㅋㅋㅋ,짱웃곀ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅌㅌㅌㅋㅋㅋㅋㅋㅋ,H Ks,2020-01-27T15:20:49Z,0,https://yt3.ggpht.com/ytc/AKedOLRafrbE-saXR-q3lLpSj2MFBegpbvg0FkC8ssDRHg=s48-c-k-c0x00ffffff-no-rj,good_feedback
52,와 저 통골뱅이 건물 2층 사는데 저기 공연장 있는거 이제 알았네....뜻밖의 그것을 알려드림ㅋ,와 저 통골뱅이 건물 2층 사는데 저기 공연장 있는거 이제 알았네....뜻밖의 그것을 알려드림ㅋ,Gyeongmo Kang,2020-01-26T17:42:48Z,0,https://yt3.ggpht.com/ytc/AKedOLSB39vf8DnXZvSmqXc_auogOdEn2x9MpIX_Hw=s48-c-k-c0x00ffffff-no-rj,good_feedback
53,밴드가 다 찐따같에ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,밴드가 다 찐따같에ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,Wr Im,2020-01-22T10:44:13Z,0,https://yt3.ggpht.com/ytc/AKedOLQ0e8DODOOFJL8Y7Ujbie3My2O7e71LtWHzzg=s48-c-k-c0x00ffffff-no-rj,good_feedback
54,돠드림×<br>신들림○,"돠드림×
신들림○",도비,2020-01-21T07:10:02Z,0,https://yt3.ggpht.com/ytc/AKedOLRamSyWc2JD1vrfyb9ccneIARGKCwiAIuiMEPAmbQ=s48-c-k-c0x00ffffff-no-rj,good_feedback
55,저런 개성있는 밴드들이 대중의 사랑을 많이 받을 수 있는 장이 많아야 하는 데 일본으로 가시죠? 일본은 밴드문화 한국은 아이돌문화,저런 개성있는 밴드들이 대중의 사랑을 많이 받을 수 있는 장이 많아야 하는 데 일본으로 가시죠? 일본은 밴드문화 한국은 아이돌문화,김태영,2020-01-20T06:52:28Z,0,https://yt3.ggpht.com/ytc/AKedOLRU8XCM5TPTdCPNgKAyj-g1KW8i9V_8ZdYK8Sr-DQ=s48-c-k-c0x00ffffff-no-rj,good_feedback
56,"<a href=""https://www.youtube.com/watch?v=ibydOspB5y0&amp;t=2m04s"">2:04</a> 여성분 자꾸 씹히는데 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ",2:04 여성분 자꾸 씹히는데 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,Serenata,2020-01-18T05:03:59Z,4,https://yt3.ggpht.com/TK1Ly-nm5wuI3tWUuJJQGhXqOo-J8l7z3Ip3FRxNRrMtywFHpzoU9COR4PHwVM8IedVI9zCe-w=s48-c-k-c0x00ffffff-no-rj,good_feedback
57,돠드림 컨텐츠는 오래오래 두고두고 계속 보기 재밌는거같음 이 밴드는 지금 뭐할까 궁금하기도하고 ㅋㅋ,돠드림 컨텐츠는 오래오래 두고두고 계속 보기 재밌는거같음 이 밴드는 지금 뭐할까 궁금하기도하고 ㅋㅋ,HJ Kim,2020-01-16T23:29:30Z,0,https://yt3.ggpht.com/ytc/AKedOLS-zysOIkOk55CWf0UG27b2PYCDyKin_pZOuXdS6A=s48-c-k-c0x00ffffff-no-rj,good_feedback
58,"<a href=""https://www.youtube.com/watch?v=ibydOspB5y0&amp;t=1m40s"">1:40</a> ㅋㅋㅋㅋㄱㄲㅋㅋ",1:40 ㅋㅋㅋㅋㄱㄲㅋㅋ,레라,2020-01-16T17:26:33Z,0,https://yt3.ggpht.com/_N3U-ZtbDByeYSxcZ9wzZ9uDrGQAdkmW4_hyxobhrnxUP3jhdHKbXYauKl6GP_B-QMHiIadkGQ=s48-c-k-c0x00ffffff-no-rj,good_feedback
59,흰자.........,흰자.........,진진,2020-01-11T19:42:16Z,0,https://yt3.ggpht.com/ytc/AKedOLTIVR9vQRAW18S8GXphQ7GHBzhTGeX3AeLqxtMh=s48-c-k-c0x00ffffff-no-rj,good_feedback
60,미쳤냐고 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 너무 귀여워,미쳤냐고 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 너무 귀여워,오밍주,2020-01-07T23:50:50Z,0,https://yt3.ggpht.com/ytc/AKedOLQ-s56hbm7R4CNcDNsJS9AVhVjj7jgxqidh77BHcaA=s48-c-k-c0x00ffffff-no-rj,good_feedback
61,클래식과의 용진 흰 눈깔 조합 소름 good,클래식과의 용진 흰 눈깔 조합 소름 good,도지혜,2020-01-03T13:14:13Z,0,https://yt3.ggpht.com/ytc/AKedOLQbNWVjynuJSboRvZvt3PHuQcdxYfvKbEVYFQ=s48-c-k-c0x00ffffff-no-rj,good_feedback
62,역시 하태 ㅋㅋㅋ,역시 하태 ㅋㅋㅋ,emp,2020-01-02T12:31:09Z,0,https://yt3.ggpht.com/ytc/AKedOLQBaYJ-AGIf-B2SLFlcixpKdei0SeUFYFJOKNRel_IremRGjkoGrNKqB2s28YUG=s48-c-k-c0x00ffffff-no-rj,good_feedback
63,이게 시바락이지..,이게 시바락이지..,이게 시바 락이야,2020-01-02T02:26:34Z,0,https://yt3.ggpht.com/ytc/AKedOLQ9DdyPSQYjyL3TuqrUTtnX4bjx7PmMxza6oSslIg=s48-c-k-c0x00ffffff-no-rj,good_feedback
64,AOR 공연장이네,AOR 공연장이네,권영창,2019-12-24T14:42:59Z,0,https://yt3.ggpht.com/ytc/AKedOLR_Se7CCYn14_4qJYAKxPymZPoHJtxpDZQ19-w47A=s48-c-k-c0x00ffffff-no-rj,good_feedback
65,"<a href=""https://www.youtube.com/watch?v=ibydOspB5y0&amp;t=2m47s"">2:47</a> 렘♡",2:47 렘♡,감명버드면웃는새,2019-12-21T11:36:18Z,0,https://yt3.ggpht.com/ytc/AKedOLRpzpaasJzT_QzJhcnsckihiNYay_dxMaSBFi4riQ=s48-c-k-c0x00ffffff-no-rj,good_feedback
66,썸네일 접신했는줄 알았지나여 ㅋㅋㅋㅋㅋㅋㅋ,썸네일 접신했는줄 알았지나여 ㅋㅋㅋㅋㅋㅋㅋ,무걸시즌4존버,2019-12-20T02:03:52Z,0,https://yt3.ggpht.com/ytc/AKedOLQvmFMxrJiBgD-PwqNWz2fcu2CEzHNc1jWMEA=s48-c-k-c0x00ffffff-no-rj,good_feedback
