,authorDisplayName,authorProfileImageUrl,textDisplay,textOriginal,likeCount,publishedAt,predict
19,Offical Regigigas,https://yt3.ggpht.com/ytc/AKedOLSglgttYy3FY_-Wma7sRVJXmFnpaYe1m1sYkyLIDQ=s48-c-k-c0x00ffffff-no-rj,꽁기깅깅깅공강강꽁기깅깅깅강뿌와앙<br>고정해주셈,"꽁기깅깅깅공강강꽁기깅깅깅강뿌와앙
고정해주셈",0,20211108,bad_feedback
20,거북이 스튜디오,https://yt3.ggpht.com/cvAI9ddOYUZrs0uMnlZIpBdcqmH9OieUf0PAKs-Zge_EJcS0ofpyim6T5lgO5EhDhf2vih38=s48-c-k-c0x00ffffff-no-rj,"<a href=""https://www.youtube.com/watch?v=OXabN4uspPk"">https://www.youtube.com/watch?v=OXabN4uspPk</a>",https://www.youtube.com/watch?v=OXabN4uspPk,0,20211108,good_feedback
21,거북이 스튜디오,https://yt3.ggpht.com/cvAI9ddOYUZrs0uMnlZIpBdcqmH9OieUf0PAKs-Zge_EJcS0ofpyim6T5lgO5EhDhf2vih38=s48-c-k-c0x00ffffff-no-rj,"여기 님 나옴<a href=""https://www.youtube.com/watch?v=OXabN4uspPk"">https://www.youtube.com/watch?v=OXabN4uspPk</a>",여기 님 나옴https://www.youtube.com/watch?v=OXabN4uspPk,0,20211108,bad_feedback
22,김우팡,https://yt3.ggpht.com/sQtSIIPxSwt1kfJRmXb6jHQjkYohAiiZnqSEYQWuvbUwc2GtsRlbQo7SykD3iWpccqF8YEjrKi8=s48-c-k-c0x00ffffff-no-rj,이분이 원본임 ㅋㅋ 레전드네,이분이 원본임 ㅋㅋ 레전드네,0,20211108,good_feedback
23,허지웅,https://yt3.ggpht.com/DkotcBlE7Td-yXVdqnejrVfTutk-VHaCfC3HEP9Uu5KinueBf7yJ2_1gIRVXIT6LiqOyN9K0Pw=s48-c-k-c0x00ffffff-no-rj,왜  처음에  홍익인간 들리냐?,왜  처음에  홍익인간 들리냐?,0,20211107,bad_feedback
24,화난멍뭉이youtube,https://yt3.ggpht.com/7F_LfOKN_uUv2VgZE64d_Ajt5XT8NCMAIOl7DDnJRi_nW9MFxlY4RwivH8eJDwL21TnBB2H4=s48-c-k-c0x00ffffff-no-rj,똑같에,똑같에,0,20211105,bad_feedback
25,D kim,https://yt3.ggpht.com/ytc/AKedOLSgqi9ERiLrmFCj4zEu-FRiq5UDX92FNWc3cKIa=s48-c-k-c0x00ffffff-no-rj,마지막은 결국 여친 앞에서 싸버렸ㅇ,마지막은 결국 여친 앞에서 싸버렸ㅇ,0,20211104,bad_feedback
26,김얼,https://yt3.ggpht.com/ytc/AKedOLQ5SNyVs5knd5uEIHa3zNz_rfTqYpvk7NSkiQ=s48-c-k-c0x00ffffff-no-rj,졘 안저러는데...레레지지 가각가각가가가갉 기가기가 후흥 가가가가가각가 이거 아닌가?모르겠고 마지막에 싼거같아ㅋㅋㅋ,졘 안저러는데...레레지지 가각가각가가가갉 기가기가 후흥 가가가가가각가 이거 아닌가?모르겠고 마지막에 싼거같아ㅋㅋㅋ,0,20211103,bad_feedback
27,동글이의 세상  --마인크래프트 채널🅥,https://yt3.ggpht.com/57RFla70QYc5tJoACD-Fg-ZbSXxXparwE8BTYVg5f8CIbrlT74IiOgNZ_hIbHx77tfY4I_UTTRQ=s48-c-k-c0x00ffffff-no-rj,홍깅강옹잉앙홍끼낑꽁깡ㅜ다다다다다,홍깅강옹잉앙홍끼낑꽁깡ㅜ다다다다다,0,20211103,bad_feedback
28,김오리,https://yt3.ggpht.com/6JPGRCzbF7O2Npy-dWX3wgachjDwmJwEdeVooZHc0KjvzN_hyj0haOA818ljfuNZzyOEdMgxeFo=s48-c-k-c0x00ffffff-no-rj,4초짜리 영상을 보기위해 6초짜리 광고를 보니 기분이 ㅈ같았습니다,4초짜리 영상을 보기위해 6초짜리 광고를 보니 기분이 ㅈ같았습니다,0,20211208,bad_feedback
29,날치TV,https://yt3.ggpht.com/RJFg3SmJwrMv9ALynkd34kN1KK7ekiZlXLuw3XVeXp2rxZFWq4Q13pa8OiRWakGgfQSc0c8ydX8=s48-c-k-c0x00ffffff-no-rj,"<a href=""https://youtu.be/wL8yvZDF6RA%EC%97%AC%EA%B8%B0%EC%84%9C0:24%EC%97%90%EC%84%9C"">https://youtu.be/wL8yvZDF6RA여기서0:24에서</a> 꽁기깅강꽁강꽁공꽁기깅강꽁강이나와요",https://youtu.be/wL8yvZDF6RA여기서0:24에서 꽁기깅강꽁강꽁공꽁기깅강꽁강이나와요,0,20211208,contents
30,만제 박의 포켓몬 박사,https://yt3.ggpht.com/-nXE5V-JrEKG40QnJUbdm_XGf01SH6zEY6iwBv7wM6vW9vzeGiS3J8I8qBlADgfdzL0tCMGjyg=s48-c-k-c0x00ffffff-no-rj,레지스틸 ㅋㅋㅣㄱ,레지스틸 ㅋㅋㅣㄱ,0,20211207,good_feedback
31,짧영,https://yt3.ggpht.com/_a7xk70Bv0gPgzkV1uLeDBNEqODHynk8cNTg3GwFlDKjbaBkH2mnsRR9FCa4sCTfhJLW6rFK7A=s48-c-k-c0x00ffffff-no-rj,원본이다.,원본이다.,0,20211207,good_feedback
32,샤벳상어,https://yt3.ggpht.com/Z7DxtPQ1QBMIRiXqi7my7t4jk_86-005FDH2flMZzjl03pVpDgbAj1q1cEMszzMo2NdiGqZ_vA=s48-c-k-c0x00ffffff-no-rj,꽁기깅깅깅공강강꽁기깅깅 푸와와와악<br>이거 맞나요,"꽁기깅깅깅공강강꽁기깅깅 푸와와와악
이거 맞나요",0,20211207,contents
33,하늘달,https://yt3.ggpht.com/ytc/AKedOLTqcMy8mVN6nxfEhkHUy7DN01_Jhdoo2MpKkA=s48-c-k-c0x00ffffff-no-rj,ㅋㅋㅋ,ㅋㅋㅋ,0,20211206,bad_feedback
34,선우 유튜브,https://yt3.ggpht.com/LXmRjF4RFW3qMT2RfSTt4GEmQ3M_qHsaIx5XY1WJgOTddSBUD_bRBThTj6l8XV6pWz2vZIRS=s48-c-k-c0x00ffffff-no-rj,꽁깅깅깅강꽁깅깅깅강꽁깅깅강꽁깅강,꽁깅깅깅강꽁깅깅깅강꽁깅깅강꽁깅강,0,20211205,bad_feedback
35,팬텀나이트(YouTube),https://yt3.ggpht.com/JDTDtNRfGAcTKUSmvJACCK78TEjmhIC76hiqY5k3MDY5hh-Z9VORL2Qfh9xbAny7nnBKhHZLNw=s48-c-k-c0x00ffffff-no-rj,출처!!!!!!!!!!!!저작권!!!!!!!!!,출처!!!!!!!!!!!!저작권!!!!!!!!!,0,20211204,contents
36,노랑별,https://yt3.ggpht.com/ytc/AKedOLS0UDMYZsdPRHztHLmj56xye1___GM32igPhw=s48-c-k-c0x00ffffff-no-rj,이거사실 원레 목소리가 아니라 합성된 목소리입니다.,이거사실 원레 목소리가 아니라 합성된 목소리입니다.,0,20211204,good_feedback
37,노랑별,https://yt3.ggpht.com/ytc/AKedOLS0UDMYZsdPRHztHLmj56xye1___GM32igPhw=s48-c-k-c0x00ffffff-no-rj,꽁기깅깅깅공강강꽁기깅깅꽁기깅강,꽁기깅깅깅공강강꽁기깅깅꽁기깅강,0,20211204,bad_feedback
38,나의 채널,https://yt3.ggpht.com/dRG7WLgUnjKjqrFVsn_CVfsOI-o4MVfmyHmPJ4TZZgre-33DcQ0pKn30Yhj5D4NLAbMYzfL3Dg=s48-c-k-c0x00ffffff-no-rj,꽁기깅강깅공강강꽁기깅강깅강,꽁기깅강깅공강강꽁기깅강깅강,0,20211203,bad_feedback
39,양현환,https://yt3.ggpht.com/ytc/AKedOLTnBNxmYFlahk_6q4vqwyYJ5i9dB-4FAjU0Li4Y5A=s48-c-k-c0x00ffffff-no-rj,아이 유튜브 놈들 4초짜리 하나 들을려고 6초짜리 광고를 보게 만드네,아이 유튜브 놈들 4초짜리 하나 들을려고 6초짜리 광고를 보게 만드네,0,20211203,bad_feedback
40,구름,https://yt3.ggpht.com/ytc/AKedOLQD_jbwPmKo1m9YLX5xveK2QTU4UxF6fSL_bw=s48-c-k-c0x00ffffff-no-rj,뿌웅!!!!!!!!,뿌웅!!!!!!!!,0,20211202,good_feedback
41,Leave me alone,https://yt3.ggpht.com/ytc/AKedOLRUJ1YrGwz0JIXIYz4_mQaArKR5d7Zk8EQct3zR8A=s48-c-k-c0x00ffffff-no-rj,뭐지 셀레스티얼인가,뭐지 셀레스티얼인가,0,20211202,contents
42,강범준,https://yt3.ggpht.com/oSKz6Wg-LAQjVURvggil4tNPxhJqerHqDHKATnPKHyJ3HrQgKGJ8XilzQVn-rE9LK9w8HSXYJqM=s48-c-k-c0x00ffffff-no-rj,"<a href=""https://www.youtube.com/watch?v=8vAouplPQsc&amp;t=0m03s"">0:03</a>초 우리아빠 방구 소리?",0:03초 우리아빠 방구 소리?,0,20211201,good_feedback
43,YOOSAM LEE,https://yt3.ggpht.com/ytc/AKedOLS5e8-uYcmemORoUNHHr6C4SCuU-eWQEvkw686C=s48-c-k-c0x00ffffff-no-rj,꽁기깅깅깅공강강꽁기깅깅꽁기깅깡뿌와앙,꽁기깅깅깅공강강꽁기깅깅꽁기깅깡뿌와앙,0,20211130,good_feedback
44,DAEJUNG KIM,https://yt3.ggpht.com/ytc/AKedOLQS8tN2R2sfaY3KM7AU_TqRZlsM7BPfVmembYRFEA=s48-c-k-c0x00ffffff-no-rj,속도 2배하면 다급해지는 꽁기깅강꽁기깅깅강꽁기깅강공강뿌와앙 볼수있음,속도 2배하면 다급해지는 꽁기깅강꽁기깅깅강꽁기깅강공강뿌와앙 볼수있음,1,20211130,good_feedback
45,문현기,https://yt3.ggpht.com/ytc/AKedOLQ7GWs4MGhRw-oh4y42PBS5yXkqYkmYSPeYnQ=s48-c-k-c0x00ffffff-no-rj,어디에서 나옴?ㅋㅋㅋㅋㅋㅋㅋㅋ,어디에서 나옴?ㅋㅋㅋㅋㅋㅋㅋㅋ,0,20211130,good_feedback
46,다오다오,https://yt3.ggpht.com/4UeIseoxwSTRC7BxeOSijP7pyj6GX_nGdEo9wCX9qwgvjx2TCx08AacoaTH_ivh9mlOTtjoaaA=s48-c-k-c0x00ffffff-no-rj,"<a href=""https://www.youtube.com/watch?v=8vAouplPQsc&amp;t=0m00s"">0:00</a>",0:00,2,20211129,bad_feedback
47,ㅁㅁ,https://yt3.ggpht.com/M-cmgPwNHWAGEYn5WbN8R_7Sw3__s61dBde2kkr1ueGkYS3yfp2XiUmB6RlWLUSj5Jy7qIkK=s48-c-k-c0x00ffffff-no-rj,꽁기깅강꽁기깅깅강꽁기깅강공깡깡,꽁기깅강꽁기깅깅강꽁기깅강공깡깡,0,20211129,bad_feedback
48,키차 kicha,https://yt3.ggpht.com/CdBnonbrbTp-pViTVoVj-1ZfShh_KfexoIF4v_NU8o5qz_CWj-WGnKFmFqhN-CPyavO0e_gPkAk=s48-c-k-c0x00ffffff-no-rj,꽁기깅깅 깅공강강 공기기기 깅강 뿌ㅇㅘㅏ,꽁기깅깅 깅공강강 공기기기 깅강 뿌ㅇㅘㅏ,0,20211128,good_feedback
49,Kool Kids Klub,https://yt3.ggpht.com/H6zgvs9XHUtmriKxCY2bO7-o4pDDnNB0iOF4X8uKow42RH39QpIq8E88N2jHDIlNpmLilHus4g=s48-c-k-c0x00ffffff-no-rj,Why was this funny?,Why was this funny?,0,20211128,good_feedback
50,김윤호,https://yt3.ggpht.com/ytc/AKedOLTa2PaJbbx40LHQUbVs4_NnEsyYcrz0xHmhgg=s48-c-k-c0x00ffffff-no-rj,러스트 캐논인데?,러스트 캐논인데?,0,20211128,good_feedback
51,지우,https://yt3.ggpht.com/ytc/AKedOLT2IX-CfC9KX4DH_nzgHtGLuON51u-3642cZeMmxw=s48-c-k-c0x00ffffff-no-rj,꽁기깅깅깅공강강꽁기깅깅기깅강 부와아앙,꽁기깅깅깅공강강꽁기깅깅기깅강 부와아앙,0,20211127,good_feedback
52,Tense,https://yt3.ggpht.com/0AtF_NUwdCj-Wqv-x3l7R_4InohKusQoSeOlZkEIi9hc-b5_rcmhFAmwY2TZ4Ujxqz3GoL4h2P4=s48-c-k-c0x00ffffff-no-rj,이거볼라고 7초짜리 광고본거 킹받네ㅋㅋ,이거볼라고 7초짜리 광고본거 킹받네ㅋㅋ,1,20211126,bad_feedback
53,카카롯트,https://yt3.ggpht.com/sGvbvWLHKQK3PWS6QJzFcm4jLd3FD84eluBWTaJZv76BngBgs6G4gCLFHaQLEKHs7UGcdbvs=s48-c-k-c0x00ffffff-no-rj,미친세낔ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,미친세낔ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,20211125,good_feedback
54,시나쓰 유튜브SHINASU,https://yt3.ggpht.com/ytc/AKedOLR9PP6zpvmk4DzUwUUfFD-bZXxM4WPMg6SGnnxL=s48-c-k-c0x00ffffff-no-rj,쇼미더머니10 나가보시는 것 어떠십니까,쇼미더머니10 나가보시는 것 어떠십니까,0,20211124,good_feedback
55,3프로,https://yt3.ggpht.com/ytc/AKedOLQZQRx6j5FyTw5EDj3Qa1tuCAgeZIOLGt15DEW6nw=s48-c-k-c0x00ffffff-no-rj,4초짜리 영상에 5초짜리 광고가 붙네,4초짜리 영상에 5초짜리 광고가 붙네,0,20211124,bad_feedback
56,겜충,https://yt3.ggpht.com/ytc/AKedOLRfGj1nY8lOLyVqMaTr03hsgcy4P609O6DqRmfR2Q=s48-c-k-c0x00ffffff-no-rj,느슨한 유튜브 생태계에 긴장감을 주는 영상이군요,느슨한 유튜브 생태계에 긴장감을 주는 영상이군요,0,20211124,contents
57,린가드내년엔 잘될거야,https://yt3.ggpht.com/ytc/AKedOLTugDmU3NY7E3zq4mzA7jTvkJBrS2c5nmlZpMJV=s48-c-k-c0x00ffffff-no-rj,이거 처음봣을때 문세윤 목소린줄알앗는데 아니엿노..,이거 처음봣을때 문세윤 목소린줄알앗는데 아니엿노..,1,20211124,bad_feedback
58,컴로빡 comropac,https://yt3.ggpht.com/O5ccVdZQnZsIQ7E2F_2FgxpHgWwHG-PP8F1VlyMru_Ffgnn_adEhtbU_RY8dYs1sIXTopZb61g=s48-c-k-c0x00ffffff-no-rj,꽁기깅깅깅공강강꽁기깅깅꽁기깅강<br>뿌와왕,"꽁기깅깅깅공강강꽁기깅깅꽁기깅강
뿌와왕",0,20211124,good_feedback
59,얄미운 놈,https://yt3.ggpht.com/Mb6AkwF_l86w2lP5bSbghWuoKIdZpheXeJolNgLpJngg7-SMzwA_95UU44dn3MjXO5FySRO_=s48-c-k-c0x00ffffff-no-rj,Zzzz,Zzzz,0,20211124,good_feedback
60,ㅁㅁ,https://yt3.ggpht.com/M-cmgPwNHWAGEYn5WbN8R_7Sw3__s61dBde2kkr1ueGkYS3yfp2XiUmB6RlWLUSj5Jy7qIkK=s48-c-k-c0x00ffffff-no-rj,2배속을 하면 ‘쇼미더머니 60초 심사에 나간 꽁기깅강‘ 영상을 체험할수 있습니다.,2배속을 하면 ‘쇼미더머니 60초 심사에 나간 꽁기깅강‘ 영상을 체험할수 있습니다.,0,20211124,bad_feedback
61,레지스틸,https://yt3.ggpht.com/rI3AW6nIlwlavZuLHczngSm3A6BH3E19Ww7euM4Y5BKO_X3GMv6mbFIGdi-pFquE7lOORdyPB84=s48-c-k-c0x00ffffff-no-rj,?,?,0,20211123,bad_feedback
62,Kaileb Ellwood,https://yt3.ggpht.com/ytc/AKedOLTfBIgUqSVe-zCD2YbsezB3BnzSI-crbv_xsE51=s48-c-k-c0x00ffffff-no-rj,"Ayyyy wsp other people who speak English…. It’s just me, damn","Ayyyy wsp other people who speak English…. It’s just me, damn",0,20211123,good_feedback
63,도하,https://yt3.ggpht.com/ytc/AKedOLTp227_VHBe_Bpoio7RdsSQg_9ljNhlLAxnlmOh3Q=s48-c-k-c0x00ffffff-no-rj,꽁기깅깅/깅공강강/꽁기깅깅/기깅강,꽁기깅깅/깅공강강/꽁기깅깅/기깅강,0,20211122,good_feedback
64,타크코코아,https://yt3.ggpht.com/Mjv3wye6yMLinszt5MujSmmofc9LWVbm4cIBnXhfLqSabEnFgRh15sjfcbnCqX6TCO7NO5ML=s48-c-k-c0x00ffffff-no-rj,꽁기깅강공깅강강공깅기깅강뿌어아앙,꽁기깅강공깅강강공깅기깅강뿌어아앙,0,20211121,bad_feedback
65,호홓하하,https://yt3.ggpht.com/ytc/AKedOLRBhBBd8cro-5lUogCxsxZVY5sRRSjLaoiBEzE01w=s48-c-k-c0x00ffffff-no-rj,"<a href=""https://www.youtube.com/watch?v=8vAouplPQsc&amp;t=0m02s"">0:02</a>",0:02,0,20211121,bad_feedback
66,호홓하하,https://yt3.ggpht.com/ytc/AKedOLRBhBBd8cro-5lUogCxsxZVY5sRRSjLaoiBEzE01w=s48-c-k-c0x00ffffff-no-rj,"<a href=""https://www.youtube.com/watch?v=8vAouplPQsc&amp;t=0m01s"">0:01</a>",0:01,1,20211121,bad_feedback
67,Joon,https://yt3.ggpht.com/ytc/AKedOLTuCb5Pe2jLxE7fe7nHVYDjeNvsAx2oLjUxhg=s48-c-k-c0x00ffffff-no-rj,성우분 발음좋으시네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,성우분 발음좋으시네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,20211120,bad_feedback
68,CLIPTSD,https://yt3.ggpht.com/Ri3MPRLBZcVsQD1o9KpPpVgTwHAT6Tk98a_dNLy8W-7x-tTgr0UudzbOGl2Tg-RiJKW-Fyrl9g=s48-c-k-c0x00ffffff-no-rj,나 포켓몬 몰라서 진짜 이포켓몬이 이소리 내는줄알았자너,나 포켓몬 몰라서 진짜 이포켓몬이 이소리 내는줄알았자너,0,20211120,good_feedback
69,재민 정,https://yt3.ggpht.com/ytc/AKedOLRZVqqA3rd0CaD0QupDbd7-0oKUiBvTL-Re1r1N3j0wYA=s48-c-k-c0x00ffffff-no-rj,ㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋ,0,20211120,good_feedback
70,꽁깅깅강,https://yt3.ggpht.com/p-ftmHhHwSJ-P2Xjm7zb96kkfdMaSoqsS_evHhr6fLplqtREuMYT7sIEO6FOXD4SGFp4ClKu=s48-c-k-c0x00ffffff-no-rj,ㅋㅋ,ㅋㅋ,0,20211120,bad_feedback
71,이름,https://yt3.ggpht.com/2NsGAg4u4llPhejVjCdmwQiA4o-0lHxRHzUkOfsY4MDsv-v51f8Qkd4zYDSldbKHtzW4QwMnbA=s48-c-k-c0x00ffffff-no-rj,내 알고리즘까지 미쳐가고 있다...,내 알고리즘까지 미쳐가고 있다...,0,20211119,good_feedback
72,김민찬,https://yt3.ggpht.com/ytc/AKedOLSPJ4J6qy3nXaMq5DoOEVurcsM6Ka0Ky0a5KQ=s48-c-k-c0x00ffffff-no-rj,이거 2배속 필수,이거 2배속 필수,0,20211119,good_feedback
73,네온,https://yt3.ggpht.com/ytc/AKedOLRUaL1F1DCbPeoTCSNEq-kIfKPup8kUqSTDGzEYYBPkwD8dc1nH96lmg2z8Qp2Pc1-4a7k=s48-c-k-c0x00ffffff-no-rj,왜케 중독되는 느낌이지?,왜케 중독되는 느낌이지?,0,20211119,good_feedback
74,상어,https://yt3.ggpht.com/ytc/AKedOLQM5ZH_YtvXF9GL6XjbHBzZoTP_Nil-d2KwlvxcFw=s48-c-k-c0x00ffffff-no-rj,꽁기깅깅깅꽁강강꽁기깅깅강,꽁기깅깅깅꽁강강꽁기깅깅강,0,20211119,bad_feedback
75,달고롬,https://yt3.ggpht.com/YIgTiW8QrkNOn5GDbGox6F2o55fg06WosOn9Fly2m4uMVoHvHc-pSq5V28Th_2eumsohe3L_2Q=s48-c-k-c0x00ffffff-no-rj,"꽁기깅깅 역재생 만들었습니다. <a href=""https://youtu.be/xlNdppqAi4A"">https://youtu.be/xlNdppqAi4A</a>",꽁기깅깅 역재생 만들었습니다. https://youtu.be/xlNdppqAi4A,1,20211119,bad_feedback
76,피뱅,https://yt3.ggpht.com/ytc/AKedOLShmzMmJKbZ-885tyIt1EGRtcoiFAKaGroDlkQL6Q=s48-c-k-c0x00ffffff-no-rj,"꽁기깅깅깅공강강꽁기깅깅꽁기깅강 1시간 버전 <a href=""https://youtu.be/h5Dzk0JfYpQ"">https://youtu.be/h5Dzk0JfYpQ</a>",꽁기깅깅깅공강강꽁기깅깅꽁기깅강 1시간 버전 https://youtu.be/h5Dzk0JfYpQ,1,20211117,good_feedback
